row_label_raw,row_label_full,col_0,Tàu bay và các bộ phận VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Tàu bay và các bộ phận VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.617.393.753.474,24.440.975.624,19.839.021.566,26.870.997.392,1.688.544.748.056,1617393753474.0,24440975624.0,19839021566.0,26870997392.0,1688544748056.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,1.042.150.000,1.042.150.000,,,,1042150000.0,1042150000.0
Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),Nguyên giá > Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),Xây dựng cơ bản mới hoàn thành(Thuyết minh 11),622.939.531.790,78.154.865.640,47.454.960.196,29.513.546.502,778.062.904.128,622939531790.0,78154865640.0,47454960196.0,29513546502.0,778062904128.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,91.097.667,(91.097.667),-,-,-,91097667.0,-91097667.0,,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.343.610.388.704),-,-,(115.517.280),(1.343.725.905.984),-1343610388704.0,,,-115517280.0,-1343725905984.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,896.813.994.227,102.504.743.597,67.293.981.762,57.311.176.614,1.123.923.896.200,896813994227.0,102504743597.0,67293981762.0,57311176614.0,1123923896200.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,333.494.428.740,20.999.519.620,16.021.746.370,15.891.974.168,386.407.668.898,333494428740.0,20999519620.0,16021746370.0,15891974168.0,386407668898.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,123.563.796.627,6.822.011.316,3.732.411.089,6.085.534.618,140.203.753.650,123563796627.0,6822011316.0,3732411089.0,6085534618.0,140203753650.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(252.112.476.003),-,-,-,(252.112.476.003),-252112476003.0,,,,-252112476003.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,204.945.749.364,27.821.530.936,19.754.157.459,21.977.508.786,274.498.946.545,204945749364.0,27821530936.0,19754157459.0,21977508786.0,274498946545.0
Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giả trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.283.899.324.734,3.441.456.004,3.817.275.196,10.979.023.224,1.302.137.079.158,1283899324734.0,3441456004.0,3817275196.0,10979023224.0,1302137079158.0
Tại ngày 31 tháng 12 năm 2020,Giả trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,691.868.244.863,74.683.212.661,47.539.824.303,35.333.667.828,849.424.949.655,691868244863.0,74683212661.0,47539824303.0,35333667828.0,849424949655.0
