row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bayVND,Chi phí hoàn tàubay thuếVND,Chi phí kiểm tra vàsửa chữa lớnVND,"Phụ từng xoay vòng,cộng cụ và dụng cụVND",KhácVND,Tổng cộngVND,numeric__Chi phí bảo dưỡngtàu bayVND,numeric__Chi phí hoàn tàubay thuếVND,numeric__Chi phí kiểm tra vàsửa chữa lớnVND,"numeric__Phụ từng xoay vòng,cộng cụ và dụng cụVND",numeric__KhácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.782.829.060.991,590.235.202.338,103.156.115.556,114.854.388.316,605.922.669,6.591.680.689.870,5782829060991.0,590235202338.0,103156115556.0,114854388316.0,605922669.0,6591680689870.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,808.937.001.247,56.655.038.270,73.016.118.530,129.947.004.251,45.840.850.741,1.114.396.013.039,808937001247.0,56655038270.0,73016118530.0,129947004251.0,45840850741.0,1114396013039.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(424.331.739.105),(83.014.775.913),(92.191.982.357),(121.106.442.765),(5.574.097.977),(726.219.038.117),-424331739105.0,-83014775913.0,-92191982357.0,-121106442765.0,-5574097977.0,-726219038117.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,(1.901.890.471.265),(86.415.886.305),-,-,-,(1.988.306.357.570),-1901890471265.0,-86415886305.0,,,,-1988306357570.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.265.543.851.868,477.459.578.390,83.980.251.729,123.694.949.802,40.872.675.433,4.991.551.307.222,4265543851868.0,477459578390.0,83980251729.0,123694949802.0,40872675433.0,4991551307222.0
