row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2020 VND,Tại ngày 31 tháng 12 năm > 2019 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2020 VND,numeric__Tại ngày 31 tháng 12 năm > 2019 VND
200,200,200,TÀI SẢN DÀI HẠN,,19.814.061.480.237,25.024.869.140.536,,,19814061480237.0,25024869140536.0
210,210,210,Các khoản phải thu dài hạn,,12.969.528.319.817,15.594.389.684.300,,,12969528319817.0,15594389684300.0
215,215,215,Phải thu về cho vay dài hạn,12,499.159.644.000,1.200.982.168.000,,12.0,499159644000.0,1200982168000.0
216,216,216,Phải thu dài hạn khác,7(b),12.470.368.675.817,14.393.407.516.300,,,12470368675817.0,14393407516300.0
220,220,220,Tài sản cố định,,850.496.391.339,1.304.424.116.769,,,850496391339.0,1304424116769.0
221,221,221,Tài sản cố định hữu hình,10(a),849.424.949.655,1.302.137.079.158,,,849424949655.0,1302137079158.0
222,222,222,Nguyên giá,,1.123.923.896.200,1.688.544.748.056,,,1123923896200.0,1688544748056.0
223,223,223,Giá trị khấu hao lũy kể,,(274.498.946.545),(386.407.668.898),,,-274498946545.0,-386407668898.0
227,227,227,Tài sản cố định vô hình,10(b),1.071.441.684,2.287.037.611,,,1071441684.0,2287037611.0
228,228,228,Nguyên giá,,30.834.110.655,30.818.110.655,,,30834110655.0,30818110655.0
229,229,229,Giá trị khấu hao lũy kể,,(29.762.668.971),(28.531.073.044),,,-29762668971.0,-28531073044.0
240,240,240,Tài sản dở dang dài hạn,,804.241.395.933,1.318.401.443.379,,,804241395933.0,1318401443379.0
242,242,242,Chi phí xây dựng cơ bản dở dang,11,804.241.395.933,1.318.401.443.379,,11.0,804241395933.0,1318401443379.0
250,250,250,Đầu tư tài chính dài hạn,,198.244.065.926,215.973.206.218,,,198244065926.0,215973206218.0
252,252,252,Đầu tư vào công ty liên kết,4(c),42.270.859.708,60.000.000.000,,,42270859708.0,60000000000.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,4(d),149.417.024.400,149.417.024.400,,,149417024400.0,149417024400.0
255,255,255,Đầu tư nằm giữ đến ngày đáo hạn,4(b),6.556.181.818,6.556.181.818,,,6556181818.0,6556181818.0
260,260,260,Tài sản dài hạn khác,,4.991.551.307.222,6.591.680.689.870,,,4991551307222.0,6591680689870.0
261,261,261,Chi phí trả trước dài hạn,9(b),4.991.551.307.222,6.591.680.689.870,,,4991551307222.0,6591680689870.0
270,270,270,TỔNG TÀI SẢN,,45.196.830.231.761,48.858.753.808.511,,,45196830231761.0,48858753808511.0
