row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,18.220.292.888.526,50.602.936.007.389,,,18220292888526.0,50602936007389.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,27,18.220.292.888.526,50.602.936.007.389,,27.0,18220292888526.0,50602936007389.0
11,02 > 11,11,Giá vốn hàng bán và dịch vụ cung cấp,28,(19.632.221.357.027),(44.980.140.698.282),,28.0,-19632221357027.0,-44980140698282.0
20,02 > 20,20,(Lỗ)/lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,(1.411.928.468.501),5.622.795.309.107,,,-1411928468501.0,5622795309107.0
21,02 > 21,21,Doanh thu hoạt động tài chính,29,970.429.628.494,780.495.784.919,,29.0,970429628494.0,780495784919.0
22,02 > 22,22,Chi phí tài chính,30,(419.415.685.869),(1.024.667.417.427),,30.0,-419415685869.0,-1024667417427.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,30,(452.572.729.500),(351.417.652.590),,30.0,-452572729500.0,-351417652590.0
24,02 > 24,24,Phần lỗ trong công ty liên kết,,(17.729.140.292),(91.807.064.610),,,-17729140292.0,-91807064610.0
25,02 > 25,25,Chi phí bán hàng,31,(764.076.040.739),(1.003.521.966.058),,31.0,-764076040739.0,-1003521966058.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,32,(374.847.317.582),(435.654.189.800),,32.0,-374847317582.0,-435654189800.0
30,02 > 30,30,(Lỗ)/lợi nhuận thuần từ hoạt động kinh doanh,,(2.017.567.024.489),3.847.640.456.131,,,-2017567024489.0,3847640456131.0
31,02 > 31,31,Thu nhập khác,,1.779.506.069.100,721.382.385.427,,,1779506069100.0,721382385427.0
32,02 > 32,32,Chi phí khác,,(6.431.815.059),(371.826.584),,,-6431815059.0,-371826584.0
40,02 > 40,40,Lợi nhuận khác,33,1.773.074.254.041,721.010.558.843,,33.0,1773074254041.0,721010558843.0
50,02 > 50,50,Tổng (lỗ)/lợi nhuận kể toán trước thuế,,(244.492.770.448),4.568.651.014.974,,,-244492770448.0,4568651014974.0
51,02 > 51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",34,(13.462.059.245),(741.648.874.040),,34.0,-13462059245.0,-741648874040.0
52,02 > 52,52,Thu nhập/(chỉ phí) thuế TNDN hoãn lại,"34, 21",326.620.164.827,(19.657.013.840),,,326620164827.0,-19657013840.0
60,02 > 60,60,Lợi nhuận sau thuế TNDN,,68.665.335.134,3.807.345.127.094,,,68665335134.0,3807345127094.0
,,,Phân bổ cho:,,,,,,,
61,02 > 61,61,Cổ đông của Công ty,,68.591.150.827,3.806.761.193.483,,,68591150827.0,3806761193483.0
62,02 > 62,62,Cổ đông không kiểm soát,,74.184.307,583.933.611,,,74184307.0,583933611.0
70,02 > 70,70,Lãi cơ bản trên cổ phiếu,25(a),131,7.107,,,131.0,7107.0
71,02 > 71,71,Lãi suy giảm trên cổ phiếu,25(b),131,7.107,,,131.0,7107.0
