row_label_raw,row_label_full,19,VAY,col_2,col_3,col_4,col_5,col_6,numeric__VAY,numeric__col_2,numeric__col_3,numeric__col_4,numeric__col_5,numeric__col_6
(a),(a),(a),Ngắn hạn,,,,,,,,,,,
,,,,Tại ngày1.1.2020VND,TăngVND,GiảmVND,Đánh giá lạiVND,Tại ngày31.12.2020VND,,,,,,
,,,Vay ngân hàng (i),8.093.861.628.187,16.493.630.775.879,(18.108.994.917.912),(7.236.759.420),6.471.260.726.734,,8093861628187.0,16493630775879.0,-18108994917912.0,-7236759420.0,6471260726734.0
,,,Vay dài hạn đến hạn trả(Thuyết minh 19(b)),67.227.620.000,2.622.989.083.545,(64.622.680.000),(2.039.113.545),2.623.554.910.000,,67227620000.0,2622989083545.0,-64622680000.0,-2039113545.0,2623554910000.0
,,,Bên liên quan(Thuyết minh 38(b)),-,1.000.000.000.000,-,-,1.000.000.000.000,,,1000000000000.0,,,1000000000000.0
,,,,8.161.089.248.187,20.116.619.859.424,(18.173.617.597.912),(9.275.872.965),10.094.815.636.734,,8161089248187.0,20116619859424.0,-18173617597912.0,-9275872965.0,10094815636734.0
