row_label_raw,row_label_full,Bên cho vay,Loại tiên,2020 VND,2019 VND,numeric__Loại tiên,numeric__2020 VND,numeric__2019 VND
Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,Các khoản vay được đảm bảo,,,
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (*)","Các khoản vay được đảm bảo > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (*)","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan (*)",USD,1.921.659.266.962,1.366.643.484.671,,1921659266962.0,1366643484671.0
Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,Các khoản vay không được đảm bảo,,,
Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,1.973.275.655.305,2.398.451.410.411,,1973275655305.0,2398451410411.0
Ngân hàng TMCP Quản Đôi,Các khoản vay không được đảm bảo > Ngân hàng TMCP Quản Đôi,Ngân hàng TMCP Quản Đôi,VND,1.080.441.555.760,291.680.216.686,,1080441555760.0,291680216686.0
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Các khoản vay không được đảm bảo > Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",VND,586.197.161.571,617.544.457.880,,586197161571.0,617544457880.0
Ngân hàng Thương mai Cổ phần Xăng dấu Petrolimex,Các khoản vay không được đảm bảo > Ngân hàng Thương mai Cổ phần Xăng dấu Petrolimex,Ngân hàng Thương mai Cổ phần Xăng dấu Petrolimex,VND,449.735.795.752,-,,449735795752.0,
Ngân hàng TMCP Hàng hải Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,USD,226.640.086.933,268.808.055.678,,226640086933.0,268808055678.0
"Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh","Các khoản vay không được đảm bảo > Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh","Ngân hàng TNHH Một thành viên United Overseas Bank Việt Nam, Chi nhánh Hồ Chí Minh",VND,123.411.192.331,51.529.456.152,,123411192331.0,51529456152.0
Ngân hàng TNHH Một thành viên HSBC Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TNHH Một thành viên HSBC Việt Nam,Ngân hàng TNHH Một thành viên HSBC Việt Nam,VND,109.900.032.120,950.427.034.104,,109900032120.0,950427034104.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,-,899.694.699.335,,,899694699335.0
Ngân hàng TMCP Ngoại thương Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,-,498.769.230.200,,,498769230200.0
"Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh","Các khoản vay không được đảm bảo > Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Hồ Chí Minh",VND,-,483.399.422.787,,,483399422787.0
"Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh","Các khoản vay không được đảm bảo > Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh","Ngân hàng JPMorgan Chase, N.A., Chi nhánh Hồ Chí Minh",USD,-,134.342.641.635,,,134342641635.0
Ngân hàng TMCP Kỹ thương Việt Nam,Các khoản vay không được đảm bảo > Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,USD,-,77.771.609.445,,,77771609445.0
"Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh","Các khoản vay không được đảm bảo > Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh","Ngân hàng BNP Paripas, Chi nhánh Hồ Chí Minh",VND,-,54.799.909.203,,,54799909203.0
,,,,6.471.260.726.734,8.093.861.628.187,,6471260726734.0,8093861628187.0
