row_label_raw,row_label_full,col_0,2020VND,2019VND,numeric__2020VND,numeric__2019VND
vi) Hoạt động đầu tư (tiếp theo),vi) Hoạt động đầu tư (tiếp theo),vi) Hoạt động đầu tư (tiếp theo),vi) Hoạt động đầu tư (tiếp theo),vi) Hoạt động đầu tư (tiếp theo),,
Tiền gửi có kỳ hạn và chứng từ tiền gửi,Tiền gửi có kỳ hạn và chứng từ tiền gửi,Tiền gửi có kỳ hạn và chứng từ tiền gửi,Tiền gửi có kỳ hạn và chứng từ tiền gửi,Tiền gửi có kỳ hạn và chứng từ tiền gửi,,
Cổ đông lớn,Tiền gửi có kỳ hạn và chứng từ tiền gửi > Cổ đông lớn,Cổ đông lớn,5.889.000.000.000,8.306.000.000.000,5889000000000.0,8306000000000.0
Thu nhập từ cổ tức (Thuyết minh 29),Thu nhập từ cổ tức (Thuyết minh 29),Thu nhập từ cổ tức (Thuyết minh 29),Thu nhập từ cổ tức (Thuyết minh 29),Thu nhập từ cổ tức (Thuyết minh 29),,
Công ty liên kết,Thu nhập từ cổ tức (Thuyết minh 29) > Công ty liên kết,Công ty liên kết,11.250.000.000,7.500.000.000,11250000000.0,7500000000.0
Bên liên quan khác,Thu nhập từ cổ tức (Thuyết minh 29) > Bên liên quan khác,Bên liên quan khác,6.121.644.000,2.832.636.000,6121644000.0,2832636000.0
,,,17.371.644.000,10.332.636.000,17371644000.0,10332636000.0
Bản quyền mua chứng khoán kinh doanh,Bản quyền mua chứng khoán kinh doanh,Bản quyền mua chứng khoán kinh doanh,Bản quyền mua chứng khoán kinh doanh,Bản quyền mua chứng khoán kinh doanh,,
Thu nhập từ bản quyền mua,Bản quyền mua chứng khoán kinh doanh > Thu nhập từ bản quyền mua,Thu nhập từ bản quyền mua,500.000.000.000,-,500000000000.0,
Nhận tiền thanh toán,Bản quyền mua chứng khoán kinh doanh > Nhận tiền thanh toán,Nhận tiền thanh toán,300.000.000.000,-,300000000000.0,
Mua trái phiếu doanh nghiệp phát hành,Mua trái phiếu doanh nghiệp phát hành,Mua trái phiếu doanh nghiệp phát hành,Mua trái phiếu doanh nghiệp phát hành,Mua trái phiếu doanh nghiệp phát hành,,
Tiền đã đặt cọc mua trái phiếu,Mua trái phiếu doanh nghiệp phát hành > Tiền đã đặt cọc mua trái phiếu,Tiền đã đặt cọc mua trái phiếu,2.000.000.000.000,-,2000000000000.0,
Nhận hoàn trả tiền đặt cọc mua trái phiếu,Mua trái phiếu doanh nghiệp phát hành > Nhận hoàn trả tiền đặt cọc mua trái phiếu,Nhận hoàn trả tiền đặt cọc mua trái phiếu,2.000.000.000.000,-,2000000000000.0,
Lãi phát sinh,Mua trái phiếu doanh nghiệp phát hành > Lãi phát sinh,Lãi phát sinh,52.661.095.889,-,52661095889.0,
Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33),Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33),Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33),Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33),Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33),,
Thu nhập từ chuyển nhượng,Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33) > Thu nhập từ chuyển nhượng,Thu nhập từ chuyển nhượng,793.160.000.000,-,793160000000.0,
Nhận tiền chuyển nhượng,Chuyển nhượng quyền kinh doanhvà khai thác (Thuyết minh 33) > Nhận tiền chuyển nhượng,Nhận tiền chuyển nhượng,400.000.000.000,-,400000000000.0,
Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12),Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12),Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12),Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12),Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12),,
Phân loại lại khoản cho vay sang phảithu ngắn hạn khác do thanh lý hợpđồng hợp tác kinh doanh,Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12) > Phân loại lại khoản cho vay sang phảithu ngắn hạn khác do thanh lý hợpđồng hợp tác kinh doanh,Phân loại lại khoản cho vay sang phảithu ngắn hạn khác do thanh lý hợpđồng hợp tác kinh doanh,701.500.000.000,-,701500000000.0,
Phải thu từ tiền lãi từ hợp đồng hợp tácđầu tư,Thanh lý quyền và nghĩa vụ tại dự án bất động sản(Thuyết minh 12) > Phải thu từ tiền lãi từ hợp đồng hợp tácđầu tư,Phải thu từ tiền lãi từ hợp đồng hợp tácđầu tư,252.754.849.315,-,252754849315.0,
