row_label_raw,row_label_full,col_0,Tại ngày1.1.2020VND,Số (phải thu)/phải nộp trongnămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Phân loại lạiVND,Tại ngày31.12.2020VND,numeric__Tại ngày1.1.2020VND,numeric__Số (phải thu)/phải nộp trongnămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cán trừtrong nămVND,numeric__Phân loại lạiVND,numeric__Tại ngày31.12.2020VND
a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,a) Phải thu,,,,,,
Thuế nhà thầu,a) Phải thu > Thuế nhà thầu,Thuế nhà thầu,63.157.879.211,-,-,-,(34.793.897.954),28.363.981.257,63157879211.0,,,,-34793897954.0,28363981257.0
b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,b) Phải nộp,,,,,,
Thuế GTGT,b) Phải nộp > Thuế GTGT,Thuế GTGT,30.573.052.465,550.123.259.962,-,(474.141.891.122),(2.665.999.116),103.888.422.189,30573052465.0,550123259962.0,,-474141891122.0,-2665999116.0,103888422189.0
Thuế thu nhậpcá nhân,b) Phải nộp > Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,53.851.956.775,138.879.627.742,(138.815.260.582),-,-,53.916.323.935,53851956775.0,138879627742.0,-138815260582.0,,,53916323935.0
Thuế TNDN,b) Phải nộp > Thuế TNDN,Thuế TNDN,376.762.704.761,13.462.059.245,(254.507.686.710),-,-,135.717.077.296,376762704761.0,13462059245.0,-254507686710.0,,,135717077296.0
Thuế nhà thầu,b) Phải nộp > Thuế nhà thầu,Thuế nhà thầu,8.095.267.763,34.805.738.418,(8.082.022.908),-,(34.793.897.954),25.085.319,8095267763.0,34805738418.0,-8082022908.0,,-34793897954.0,25085319.0
Thuế khác,b) Phải nộp > Thuế khác,Thuế khác,-,7.078.476,(7.078.476),-,-,-,,7078476.0,-7078476.0,,,
,,,469.282.981.764,737.277.763.843,(401.412.048.676),(474.141.891.122),(37.459.897.070),293.546.908.739,469282981764.0,737277763843.0,-401412048676.0,-474141891122.0,-37459897070.0,293546908739.0
