row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018_1,Tại ngày 31 tháng 12 năm 2018_2,Tại ngày 31 tháng 12 năm 2018_3,Tại ngày 31 tháng 12 năm 2018_4,numeric__Tại ngày 31 tháng 12 năm 2018_1,numeric__Tại ngày 31 tháng 12 năm 2018_2,numeric__Tại ngày 31 tháng 12 năm 2018_3,numeric__Tại ngày 31 tháng 12 năm 2018_4
,,,Kinh doanh chuyển nhượng bất động sản VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,Khác VND,Hợp nhất VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.114.979.803.197,32.173.771.412.290,131.070.627.599,33.419.821.843.086,1114979803197.0,32173771412290.0,131070627599.0,33419821843086.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,5.263.861.584.473,,,,5263861584473.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,38.683.683.427.559,,,,38683683427559.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.458.913.690.547,4.392.888.096.930,100.992.788.243,6.952.794.575.720,2458913690547.0,4392888096930.0,100992788243.0,6952794575720.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,3.221.607.425.981,,,,3221607425981.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,10.174.402.001.701,,,,10174402001701.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,
Chi tiêu vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn,Chi tiêu vốn,-,7.648.163.798.900,16.690.229.849,7.664.854.028.749,,7648163798900.0,16690229849.0,7664854028749.0
Khấu hao tài sản cố định hữu hình,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,21.905.922.269,14.160.195.882,36.066.118.151,,21905922269.0,14160195882.0,36066118151.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,79.452.170.862,-,79.452.170.862,,79452170862.0,,79452170862.0
Khấu hao bất động sản đầu tư,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,1.033.422.999.413,8.058.038.477,1.041.481.037.890,,1033422999413.0,8058038477.0,1041481037890.0
