row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyếtVND,Cổ phiếuuu đãiVND,Thặng dưvốn cổ phầnVND,Quỹ khác thuộc vốnchủ sở hữu,Lợi nhuậnchưa phân phốiVND,Lợi ích của cổ đôngkhông kiểm soátVND,TổngVND,numeric__Cổ phiếu phổ thôngcó quyền biểu quyếtVND,numeric__Cổ phiếuuu đãiVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Quỹ khác thuộc vốnchủ sở hữu,numeric__Lợi nhuậnchưa phân phốiVND,numeric__Lợi ích của cổ đôngkhông kiểm soátVND,numeric__TổngVND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,15.166.399.400.000,5.925.325.550.000,1.788.492.262.669,(58.419.891.967),1.831.051.293.949,30.536.517.227,24.683.385.131.878,15166399400000.0,5925325550000.0,1788492262669.0,-58419891967.0,1831051293949.0,30536517227.0,24683385131878.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.027.446.836.794,229.605.264,2.027.676.442.058,,,,,2027446836794.0,229605264.0,2027676442058.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(1.261.554.061.644),-,(1.261.554.061.644),,,,,-1261554061644.0,,-1261554061644.0
Nợ chuyển đổi thành cổ phiếu ưu đãi,Nợ chuyển đổi thành cổ phiếu ưu đãi,Nợ chuyển đổi thành cổ phiếu ưu đãi,-,419.200.000.000,36.000.000.000,-,-,-,455.200.000.000,,419200000000.0,36000000000.0,,,,455200000000.0
Công ty liên kết mua công ty con dưới sự kiểm soát chung,Công ty liên kết mua công ty con dưới sự kiểm soát chung,Công ty liên kết mua công ty con dưới sự kiểm soát chung,-,-,-,113.925.315.742,-,-,113.925.315.742,,,,113925315742.0,,,113925315742.0
Công ty liên kết mua thêm lợi ích trong công ty con của công ty liên kết,Công ty liên kết mua thêm lợi ích trong công ty con của công ty liên kết,Công ty liên kết mua thêm lợi ích trong công ty con của công ty liên kết,-,-,-,-,75.671.855.950,-,75.671.855.950,,,,,75671855950.0,,75671855950.0
Thanh lý công ty liên kết,Thanh lý công ty liên kết,Thanh lý công ty liên kết,-,-,-,(113.925.315.742),113.925.315.742,-,-,,,,-113925315742.0,113925315742.0,,
Mua và hủy bỏ cổ phiếu ưu đãi,Mua và hủy bỏ cổ phiếu ưu đãi,Mua và hủy bỏ cổ phiếu ưu đãi,-,(2.500.137.620.000),2.499.887.606.238,-,-,-,(250.013.762),,-2500137620000.0,2499887606238.0,,,,-250013762.0
Cổ phiếu ưu đãi chuyển đổi thành cổ phiếu phổ thông,Cổ phiếu ưu đãi chuyển đổi thành cổ phiếu phổ thông,Cổ phiếu ưu đãi chuyển đổi thành cổ phiếu phổ thông,3.844.387.930.000,(3.844.387.930.000),-,-,-,-,-,3844387930000.0,-3844387930000.0,,,,,
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,19.010.787.330.000,-,4.324.379.868.907,(58.419.891.967),2.786.541.240.791,30.766.122.491,26.094.054.670.222,19010787330000.0,,4324379868907.0,-58419891967.0,2786541240791.0,30766122491.0,26094054670222.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.404.386.362.997,8.840.392.639,2.413.226.755.636,,,,,2404386362997.0,8840392639.0,2413226755636.0
Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,Lợi ích cổ đông không kiểm soát tăng vốn trong một công ty con,-,-,-,-,-,2.000.000.000,2.000.000.000,,,,,,2000000000.0,2000000000.0
Tăng vốn từ nguồn vốn chủ sở hữu (Thuyết minh 31),Tăng vốn từ nguồn vốn chủ sở hữu (Thuyết minh 31),Tăng vốn từ nguồn vốn chủ sở hữu (Thuyết minh 31),4.277.396.770.000,-,(4.277.396.770.000),-,-,-,-,4277396770000.0,,-4277396770000.0,,,,
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,23.288.184.100.000,-,46.983.098.907,(58.419.891.967),5.190.927.603.788,41.606.515.130,28.509.281.425.858,23288184100000.0,,46983098907.0,-58419891967.0,5190927603788.0,41606515130.0,28509281425858.0
