row_label_raw,row_label_full,Mua lại cổ phiếu đã phát hành,32,col_2,-,(250.013.762),numeric__32,numeric__col_2,numeric__-,numeric__(250.013.762)
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,,-,2.987.603.333.333,33.0,,,2987603333333.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,,(3.200.000.000.000),(2.712.194.660.825),34.0,,-3200000000000.0,-2712194660825.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,36,,-,(1.261.554.061.644),36.0,,,-1261554061644.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(3.200.000.000.000),(986.395.402.898),40.0,,-3200000000000.0,-986395402898.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,1.009.851.592.558,(276.241.411.703),50.0,,1009851592558.0,-276241411703.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,1.421.529.231.881,1.697.770.643.584,60.0,,1421529231881.0,1697770643584.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),70,5,2.431.380.824.439,1.421.529.231.881,70.0,5.0,2431380824439.0,1421529231881.0
