row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Kinh doanh chuyển nhượng bất động sản VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,Khác VND,Tổng VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh chuyển nhượng bất động sản VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,numeric__Khác VND,numeric__Tổng VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,951.145.825.866,4.455.319.413.368,111.774.790.433,5.518.240.029.667,-,5.518.240.029.667,951145825866.0,4455319413368.0,111774790433.0,5518240029667.0,,5518240029667.0
Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,-,48.517.697.743,285.692.676.183,334.210.373.926,(334.210.373.926),-,,48517697743.0,285692676183.0,334210373926.0,-334210373926.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,951.145.825.866,4.503.837.111.111,397.467.466.616,5.852.450.403.593,(334.210.373.926),5.518.240.029.667,951145825866.0,4503837111111.0,397467466616.0,5852450403593.0,-334210373926.0,5518240029667.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,327.202.384.231,1.888.714.471.973,164.901.166.307,2.380.818.022.511,(149.384.968.929),2.231.433.053.582,327202384231.0,1888714471973.0,164901166307.0,2380818022511.0,-149384968929.0,2231433053582.0
Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,,,,,,586.894.964.438,,,,,,586894964438.0
Phần chia lợi nhuận của công ty liên kết,Phần chia lợi nhuận của công ty liên kết,Phần chia lợi nhuận của công ty liên kết,539.870.358.463,,,539.870.358.463,,1.165.558.398.602,539870358463.0,,,539870358463.0,,1165558398602.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,539.870.358.463,,,,,,539870358463.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,2.192.639.977.881,,,,,,2192639977881.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,33.738.649.561,,,,,,33738649561.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,57.625.105.139,,,,,,57625105139.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,141.077.080.245,,,,,,141077080245.0
,,,,,,,,2.027.676.442.058,,,,,,2027676442058.0
