row_label_raw,row_label_full,col_0,Nhà cửa.vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,numeric__Nhà cửa.vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,33.257.791.298,133.763.008.137,3.980.477.859,12.896.660.992,1.596.308.472,185.494.246.758,33257791298.0,133763008137.0,3980477859.0,12896660992.0,1596308472.0,185494246758.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,161.459.816,19.068.017.356,-,-,-,19.229.477.172,161459816.0,19068017356.0,,,,19229477172.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,73.834.721.960,42.181.242.083,-,587.437.555,46.702.570.671,163.305.972.269,73834721960.0,42181242083.0,,587437555.0,46702570671.0,163305972269.0
Chuyển từ tài sản cổ định vô hình,Nguyên giá > Chuyển từ tài sản cổ định vô hình,Chuyển từ tài sản cổ định vô hình,-,1.932.757.302,-,-,-,1.932.757.302,,1932757302.0,,,,1932757302.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,-,(686.557.727),-,-,-,(686.557.727),,-686557727.0,,,,-686557727.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(96.191.668),(291.398.636),-,(40.531.950),-,(428.122.254),-96191668.0,-291398636.0,,-40531950.0,,-428122254.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.426.835.955),-,-,-,(3.426.835.955),,-3426835955.0,,,,-3426835955.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,8.414.087.271,(10.133.459.972),-,(2.214.815.349),3.934.188.050,-,8414087271.0,-10133459972.0,,-2214815349.0,3934188050.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,115.571.868.677,182.406.772.588,3.980.477.859,11.228.751.248,52.233.067.193,365.420.937.565,115571868677.0,182406772588.0,3980477859.0,11228751248.0,52233067193.0,365420937565.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.078.596.599,34.773.231.179,1.156.743.337,4.149.166.541,1.393.176.804,48.550.914.460,7078596599.0,34773231179.0,1156743337.0,4149166541.0,1393176804.0,48550914460.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.012.233.314,22.448.292.940,452.949.518,2.528.688.185,3.623.954.194,36.066.118.151,7012233314.0,22448292940.0,452949518.0,2528688185.0,3623954194.0,36066118151.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,-,(52.912.933),-,-,-,(52.912.933),,-52912933.0,,,,-52912933.0
Chuyển sang chi phí trả trước ngắn hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(29.664.756),(161.101.762),-,(40.531.950),-,(231.298.468),-29664756.0,-161101762.0,,-40531950.0,,-231298468.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(867.345.487),-,-,-,(867.345.487),,-867345487.0,,,,-867345487.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,1.138.684.808,(1.410.711.029),61.986.934,-,210.039.287,-,1138684808.0,-1410711029.0,61986934.0,,210039287.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,15.199.849.965,54.729.452.908,1.671.679.789,6.637.322.776,5.227.170.285,83.465.475.723,15199849965.0,54729452908.0,1671679789.0,6637322776.0,5227170285.0,83465475723.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,26.179.194.699,98.989.776.958,2.823.734.522,8.747.494.451,203.131.668,136.943.332.298,26179194699.0,98989776958.0,2823734522.0,8747494451.0,203131668.0,136943332298.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,100.372.018.712,127.677.319.680,2.308.798.070,4.591.428.472,47.005.896.908,281.955.461.842,100372018712.0,127677319680.0,2308798070.0,4591428472.0,47005896908.0,281955461842.0
