row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnVND,Nhà cửa vàvật kiến trúcVND,"Máy móc,thiết bịVND",TổngVND,numeric__Quyền sử dụng đấtcó thời hạnVND,numeric__Nhà cửa vàvật kiến trúcVND,"numeric__Máy móc,thiết bịVND",numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.470.209.869.355,13.658.389.778.512,3.593.009.027.510,22.721.608.675.377,5470209869355.0,13658389778512.0,3593009027510.0,22721608675377.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,955.030.611.809,3.853.036.153.419,1.326.800.092.314,6.134.866.857.542,955030611809.0,3853036153419.0,1326800092314.0,6134866857542.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,111.474.531.987,669.559.152.232,292.592.393.015,1.073.626.077.234,111474531987.0,669559152232.0,292592393015.0,1073626077234.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,686.557.727,686.557.727,,,686557727.0,686557727.0
Tăng/(giảm) do quyết toán,Nguyên giá > Tăng/(giảm) do quyết toán,Tăng/(giảm) do quyết toán,-,(5.545.810.326),14.398.858.372,8.853.048.046,,-5545810326.0,14398858372.0,8853048046.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(11.213.528.368),(115.360.032.291),(49.468.525.407),(176.042.086.066),-11213528368.0,-115360032291.0,-49468525407.0,-176042086066.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,48.953.686.415,(7.340.629.940),(41.613.056.475),-,48953686415.0,-7340629940.0,-41613056475.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.574.455.171.198,18.052.738.611.606,5.136.405.347.056,29.763.599.129.860,6574455171198.0,18052738611606.0,5136405347056.0,29763599129860.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,407.597.510.593,1.003.594.944.217,909.210.816.962,2.320.403.271.772,407597510593.0,1003594944217.0,909210816962.0,2320403271772.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,58.811.496.448,586.792.985.146,395.876.556.296,1.041.481.037.890,58811496448.0,586792985146.0,395876556296.0,1041481037890.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,52.912.933,52.912.933,,,52912933.0,52912933.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(10.409.797.697),(17.350.803.033),(27.760.600.730),,-10409797697.0,-17350803033.0,-27760600730.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(57.423.402.458),(1.295.356.552),58.718.759.010,-,-57423402458.0,-1295356552.0,58718759010.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,408.985.604.583,1.578.682.775.114,1.346.508.242.168,3.334.176.621.865,408985604583.0,1578682775114.0,1346508242168.0,3334176621865.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.062.612.358.762,12.654.794.834.295,2.683.798.210.548,20.401.205.403.605,5062612358762.0,12654794834295.0,2683798210548.0,20401205403605.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.165.469.566.615,16.474.055.836.492,3.789.897.104.888,26.429.422.507.995,6165469566615.0,16474055836492.0,3789897104888.0,26429422507995.0
