row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2018VND,2017VND,,
Cổ đôngWarburg Pincus,Cổ đôngWarburg Pincus,Cổ đôngWarburg Pincus,Cổ đôngWarburg Pincus,Cổ đôngWarburg Pincus,,
Lãi vay phải trả,Cổ đôngWarburg Pincus > Lãi vay phải trả,Lãi vay phải trả,-,22.135.886.422,,22135886422.0
Cổ tức phải trả,Cổ đôngWarburg Pincus > Cổ tức phải trả,Cổ tức phải trả,-,555.009.192.009,,555009192009.0
Chuyển đổi khoản vay thành cổ phần ưu đãi,Cổ đôngWarburg Pincus > Chuyển đổi khoản vay thành cổ phần ưu đãi,Chuyển đổi khoản vay thành cổ phần ưu đãi,-,314.400.000.000,,314400000000.0
Credit Suisse,Credit Suisse,Credit Suisse,Credit Suisse,Credit Suisse,,
Lãi vay phải trả,Credit Suisse > Lãi vay phải trả,Lãi vay phải trả,-,7.378.628.807,,7378628807.0
Cổ tức phải trả,Credit Suisse > Cổ tức phải trả,Cổ tức phải trả,-,185.002.397.336,,185002397336.0
Chuyển đổi khoản vay thành cổ phần ưu đãi,Credit Suisse > Chuyển đổi khoản vay thành cổ phần ưu đãi,Chuyển đổi khoản vay thành cổ phần ưu đãi,-,104.800.000.000,,104800000000.0
Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia,,
Cổ tức phải trả,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia > Cổ tức phải trả,Cổ tức phải trả,-,105.206.935.731,,105206935731.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài ĐồngCổ tức phải trả,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia > Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài ĐồngCổ tức phải trả,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài ĐồngCổ tức phải trả,-,151.875.490.226,,151875490226.0
Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017),Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017),Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017),Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017),Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017),,
Mua hàng hóa và dịch vụ,Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017) > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,-,47.905.095.629,,47905095629.0
Cổ tức phải trả,Công ty Cổ phần Vinpearlland (đã sáp nhập vào Công ty Cổ phần Vinpearl từ ngày 25 tháng 8 năm 2017) > Cổ tức phải trả,Cổ tức phải trả,-,53.126.813.737,,53126813737.0
