row_label_raw,row_label_full,col_0,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,numeric__Tổng khoản thanh toán tiền thuê tài chính VND,numeric__Tiền lãi thuê VND,numeric__Nợ gốc VND
Trong vòng 1 năm,Trong vòng 1 năm,Trong vòng 1 năm,19.451.635.857,1.372.800.726,18.078.835.131,19451635857.0,1372800726.0,18078835131.0
Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,85.100.906.878,25.617.084.386,59.483.822.492,85100906878.0,25617084386.0,59483822492.0
Sau 5 năm,Sau 5 năm,Sau 5 năm,550.592.216.049,439.842.512.085,110.749.703.964,550592216049.0,439842512085.0,110749703964.0
,,,655.144.758.784,466.832.397.197,188.312.361.587,655144758784.0,466832397197.0,188312361587.0
1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,1/1/2018,,,
,,,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,,,
Trong vòng 1 năm,1/1/2018 > Trong vòng 1 năm,Trong vòng 1 năm,19.451.635.857,1.372.800.726,18.078.835.131,19451635857.0,1372800726.0,18078835131.0
Trong vòng 2 đến 5 năm,1/1/2018 > Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,83.155.743.291,25.233.049.770,57.922.693.521,83155743291.0,25233049770.0,57922693521.0
Sau 5 năm,1/1/2018 > Sau 5 năm,Sau 5 năm,571.989.015.491,461.458.554.371,110.530.461.120,571989015491.0,461458554371.0,110530461120.0
,,,674.596.394.639,488.064.404.867,186.531.989.772,674596394639.0,488064404867.0,186531989772.0
