row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Kinh doanh chuyển nhượng bất động sản VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,Khác VND,Tổng VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh chuyển nhượng bất động sản VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,numeric__Khác VND,numeric__Tổng VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,3.432.574.663.521,5.505.976.898.811,185.400.160.987,9.123.951.723.319,-,9.123.951.723.319,3432574663521.0,5505976898811.0,185400160987.0,9123951723319.0,,9123951723319.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,56.868.000.000,286.470.135.540,343.338.135.540,(343.338.135.540),-,,56868000000.0,286470135540.0,343338135540.0,-343338135540.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,3.432.574.663.521,5.562.844.898.811,471.870.296.527,9.467.289.858.859,(343.338.135.540),9.123.951.723.319,3432574663521.0,5562844898811.0,471870296527.0,9467289858859.0,-343338135540.0,9123951723319.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,537.388.636.577,2.435.397.655.685,(124.765.633.796),2.848.020.658.466,42.486.474.039,2.890.507.132.505,537388636577.0,2435397655685.0,-124765633796.0,2848020658466.0,42486474039.0,2890507132505.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,519.223.529.708,,,,,,519223529708.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,417.400.009.356,,,,,,417400009356.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,2.992.330.652.857,,,,,,2992330652857.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,78.051.498.814,,,,,,78051498814.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,17.596.810.044,,,,,,17596810044.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,639.558.585.991,,,,,,639558585991.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,2.413.226.755.636,,,,,,2413226755636.0
