row_label_raw,row_label_full,Bà Đỗ Thị Quỳnh Trang,Trường ban,numeric__Trường ban
Bà Nguyễn Thu Phương,Bà Nguyễn Thu Phương,Bà Nguyễn Thu Phương,Thành viên,
Bà Trần Thanh Tâm,Bà Trần Thanh Tâm,Bà Trần Thanh Tâm,Thành viên,
