row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,numeric__Phần mềm máy vi tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,46.477.046.089,46477046089.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.605.666.855,1605666855.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(1.932.757.302),-1932757302.0
Khác,Nguyên giá > Khác,Khác,(913.626.750),-913626750.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,45.236.328.892,45236328892.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,12.837.724.652,12837724652.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.868.497.652,6868497652.0
Khác,Giá trị hao mòn lũy kế > Khác,Khác,(356.125.691),-356125691.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,19.350.096.613,19350096613.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,33.639.321.437,33639321437.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,25.886.232.279,25886232279.0
