row_label_raw,row_label_full,col_0,Thuế suất,31/12/2018 VND,1/1/2018 VND,numeric__Thuế suất,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại: > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,20%,-,2.850.013.867,0.2,,2850013867.0
Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Tài sản thuế thu nhập hoãn lại: > Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,20%,9.081.261.639,5.772.153.108,0.2,9081261639.0,5772153108.0
Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Tài sản thuế thu nhập hoãn lại: > Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,20%,371.935.680,5.258.068.743,0.2,371935680.0,5258068743.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,9.453.197.319,13.880.235.718,,9453197319.0,13880235718.0
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,,
Chi phí khấu hao,Thuế thu nhập hoãn lại phải trả: > Chi phí khấu hao,Chi phí khấu hao,20%,5.552.361.051,-,0.2,5552361051.0,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,20%,39.889.463.689,40.769.240.138,0.2,39889463689.0,40769240138.0
Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,20%,10.519.757.179,10.577.644.939,0.2,10519757179.0,10577644939.0
Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,Thuế thu nhập hoãn lại phải trả: > Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,20%,25.059.336.873,11.228.915.291,0.2,25059336873.0,11228915291.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,81.020.918.792,62.575.800.368,,81020918792.0,62575800368.0
