row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018_1,Tại ngày 1 tháng 1 năm 2018_2,Tại ngày 1 tháng 1 năm 2018_3,Tại ngày 1 tháng 1 năm 2018_4,numeric__Tại ngày 1 tháng 1 năm 2018_1,numeric__Tại ngày 1 tháng 1 năm 2018_2,numeric__Tại ngày 1 tháng 1 năm 2018_3,numeric__Tại ngày 1 tháng 1 năm 2018_4
,,,Kinh doanh chuyển nhượng bất động sản VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan VND,Khác VND,Hợp nhất VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.184.683.830.424,28.913.176.977.799,307.228.067.559,31.405.088.875.782,2184683830424.0,28913176977799.0,307228067559.0,31405088875782.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,6.728.148.159.397,,,,6728148159397.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,38.133.237.035.179,,,,38133237035179.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.385.675.331.299,2.016.911.831.451,38.241.905.227,5.440.829.067.977,3385675331299.0,2016911831451.0,38241905227.0,5440829067977.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,6.598.353.296.980,,,,6598353296980.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,12.039.182.364.957,,,,12039182364957.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,
Chi tiêu vốn,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn,Chi tiêu vốn,-,4.256.289.493.124,77.312.696.898,4.333.602.190.022,,4256289493124.0,77312696898.0,4333602190022.0
Khấu hao tài sản cố định hữu hình,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,22.591.349.738,5.607.031.819,28.198.381.557,,22591349738.0,5607031819.0,28198381557.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,78.993.926.429,-,78.993.926.429,,78993926429.0,,78993926429.0
Khấu hao bất động sản đầu tư,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,808.249.694.709,20.604.518.552,828.854.213.261,,808249694709.0,20604518552.0,828854213261.0
