row_label_raw,row_label_full,col_0,Chi phíthuê mặt bằngVND,Chi phísửa chữa lớnVND,"Công cụ,dụng cụVND",Tiền thuê đấttrả trướcVND,Chi phí hoa hồngmôi giớiVND,Thu nhậpcam kếtVND,KhácVND,TổngVND,numeric__Chi phíthuê mặt bằngVND,numeric__Chi phísửa chữa lớnVND,"numeric__Công cụ,dụng cụVND",numeric__Tiền thuê đấttrả trướcVND,numeric__Chi phí hoa hồngmôi giớiVND,numeric__Thu nhậpcam kếtVND,numeric__KhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,278.158.564.110,47.819.223.135,20.473.525.339,15.804.675.410,14.961.314.538,-,17.164.911.181,394.382.213.713,278158564110.0,47819223135.0,20473525339.0,15804675410.0,14961314538.0,,17164911181.0,394382213713.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,,70.702.032.394,38.461.118.957,6.749.611.326,18.728.303.154,177.948.003.758,-,312.589.069.589,,70702032394.0,38461118957.0,6749611326.0,18728303154.0,177948003758.0,,312589069589.0
Chuyển sang chi phítrả trước ngăn hạn,Chuyển sang chi phítrả trước ngăn hạn,Chuyển sang chi phítrả trước ngăn hạn,-,-,-,(17.436.348.096),-,-,-,(17.436.348.096),,,,-17436348096.0,,,,-17436348096.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(10.053.924.004),(27.929.839.225),(22.143.669.948),(3.169.149.127),(22.597.640.864),(3.293.898.256),(1.361.689.451),(90.549.810.875),-10053924004.0,-27929839225.0,-22143669948.0,-3169149127.0,-22597640864.0,-3293898256.0,-1361689451.0,-90549810875.0
Thanh lý,Thanh lý,Thanh lý,-,-,(5.606.443.975),-,-,-,-,(5.606.443.975),,,-5606443975.0,,,,,-5606443975.0
Phân loại lại,Phân loại lại,Phân loại lại,-,858.831.459,12.971.507,719.512.822,-,-,(1.591.315.788),-,,858831459.0,12971507.0,719512822.0,,,-1591315788.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,268.104.640.106,91.450.247.763,31.197.501.880,2.668.302.335,11.091.976.828,174.654.105.502,14.211.905.942,593.378.680.356,268104640106.0,91450247763.0,31197501880.0,2668302335.0,11091976828.0,174654105502.0,14211905942.0,593378680356.0
