row_label_raw,row_label_full,Ông: Nguyễn Kim Thành > Ông: Lê Anh Dũng,Trường ban,(Bổ nhiệm ngày 09/03/2018) > (Từ nhiệm ngày 14/06/2017),numeric__Trường ban,numeric__(Bổ nhiệm ngày 09/03/2018) > (Từ nhiệm ngày 14/06/2017)
Ông: Nguyễn Đức Trung,Ông: Nguyễn Đức Trung,Ông: Nguyễn Đức Trung,Thành viên,,,
Bà: Lê Thị Băng Tâm,Bà: Lê Thị Băng Tâm,Bà: Lê Thị Băng Tâm,Thành viên,(Từ nhiệm ngày 14/06/2017),,
