row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2017 > VND,01/01/2017(Dã điều chỉnh) > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2017 > VND,numeric__01/01/2017(Dã điều chỉnh) > VND
400,400,400,D. VỐN CHỦ SỞ HỮU,,844.155.033.423,1.338.764.870.094,,,844155033423.0,1338764870094.0
410,410,410,I. Vốn chủ sở hữu,24,844.155.033.423,1.338.764.870.094,,24.0,844155033423.0,1338764870094.0
411,411,411,1. Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
411a,411a,411a,Có đông phố thông cỏ quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
414,414,414,2. Vốn khác của chủ sở hữu,,1.286.825.482,1.286.825.482,,,1286825482.0,1286825482.0
415,415,415,3. Cổ phiếu quỹ,,(10.000),(10.000),,,-10000.0,-10000.0
418,418,418,4. Quỹ đầu tư phát triển,,110.125.963.730,109.857.049.800,,,110125963730.0,109857049800.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,14.345.072.839,14.345.072.839,,,14345072839.0,14345072839.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,,(2.884.120.830.947),(2.410.574.752.966),,,-2884120830947.0,-2410574752966.0
421a,421a,421a,LNST chưa phân phối lũy kế đớn cuối năm trước,,(2.411.621.420.044),(1.682.527.492.559),,,-2411621420044.0,-1682527492559.0
421b,421b,421b,LNST chưa phân phối năm nay,,(472.499.410.903),(728.047.260.407),,,-472499410903.0,-728047260407.0
429,429,429,7. Lợi ích cỏ đông không kiểm soát,,602.518.012.319,623.850.684.939,,,602518012319.0,623850684939.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,5.354.709.374.403,6.027.357.717.727,,,5354709374403.0,6027357717727.0
