row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc,31/12/2017 > Giá trị sau dự phòng,01/01/2017 > Giá gốc,01/01/2017 > Giá trị sau dự phòng,numeric__31/12/2017 > Giá gốc,numeric__31/12/2017 > Giá trị sau dự phòng,numeric__01/01/2017 > Giá gốc,numeric__01/01/2017 > Giá trị sau dự phòng
,,,VND,VND,VND,VND,,,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,4.206.428.949.271,789.318.394.477,3.953.912.115.570,1.209.259.883.412,4206428949271.0,789318394477.0,3953912115570.0,1209259883412.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,1.511.933.804.339,425.096.892.384,1.349.733.804.339,730.310.501.196,1511933804339.0,425096892384.0,1349733804339.0,730310501196.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,95.303.334.543,747.925.640,92.277.828.426,6.298.155.488,95303334543.0,747925640.0,92277828426.0,6298155488.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.423.009.763.308,359.399.486.926,2.330.388.314.550,424.889.761.051,2423009763308.0,359399486926.0,2330388314550.0,424889761051.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,3.509.548.253,-,3.509.548.253,-,3509548253.0,,3509548253.0,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,172.672.498.828,4.074.089.527,178.002.620.002,47.761.465.677,172672498828.0,4074089527.0,178002620002.0,47761465677.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,1.478.660.065.921,460.201.916.800,1.211.638.331.244,357.191.623.840,1478660065921.0,460201916800.0,1211638331244.0,357191623840.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,506.607.902.687,1.440.419.123,506.255.083.564,-,506607902687.0,1440419123.0,506255083564.0,
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,972.052.163.234,458.761.497.677,705.383.247.680,357.191.623.840,972052163234.0,458761497677.0,705383247680.0,357191623840.0
,,,5.685.089.015.192,1.249.520.311.277,5.165.550.446.814,1.566.451.507.252,5685089015192.0,1249520311277.0,5165550446814.0,1566451507252.0
