row_label_raw,row_label_full,Ông: Lê Quang Thụ,Chủ tịch - Người đại diện theo pháp luật của Công ty,numeric__Chủ tịch - Người đại diện theo pháp luật của Công ty
Ông: Hà Trọng Nam,Ông: Hà Trọng Nam,Ông: Hà Trọng Nam,Phó Chủ tịch,
Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Bà: Nguyễn Thị Dung,Thành viên,
Bà: Nguyễn Thị Lan Hương,Bà: Nguyễn Thị Lan Hương,Bà: Nguyễn Thị Lan Hương,Thành viên,
Bà: Hoàng Thị Phương Lan,Bà: Hoàng Thị Phương Lan,Bà: Hoàng Thị Phương Lan,Thành viên,
