row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ góp vốn,Tỷ lệ quyền biểu quyết (*),Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ góp vốn,numeric__Tỷ lệ quyền biểu quyết (*),numeric__Hoạt động kinh doanh chính
Công ty Cổ phần Dịch vụ Hồ trợ và Phát triển Đầu tư,Công ty Cổ phần Dịch vụ Hồ trợ và Phát triển Đầu tư,Công ty Cổ phần Dịch vụ Hồ trợ và Phát triển Đầu tư,Quảng Nam,"95,62%","74,00%",Kinh doanh khách sạn,,0.9562,0.74,
Công ty Cổ phần Du lịch Khách sạn Suối Mơ,Công ty Cổ phần Du lịch Khách sạn Suối Mơ,Công ty Cổ phần Du lịch Khách sạn Suối Mơ,Quảng Ninh,"83,00%","83,00%",Kinh doanh khách sạn,,0.83,0.83,
Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Nha Trang,"51,42%","51,42%",Kinh doanh khách sạn,,0.5142,0.5142,
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Hồ Chí Minh,"99,68%","99,68%","Sản xuất, kinh doanh các loại bánh",,0.9968,0.9968,
Công ty Cổ phần Viptour Togi,Công ty Cổ phần Viptour Togi,Công ty Cổ phần Viptour Togi,Hà Nội,"80,00%","80,00%",Kinh doanh khách sạn,,0.8,0.8,
Công ty Cổ phần Truyền thông Đại Dương,Công ty Cổ phần Truyền thông Đại Dương,Công ty Cổ phần Truyền thông Đại Dương,Hà Nội,"94,00%","94,00%",Truyền thông,,0.94,0.94,
Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Nha Trang,"100,00%","100,00%",Kinh doanh khách sạn,,1.0,1.0,
Công ty Cổ phần Kem Tràng Tiền (Công ty con của Công ty CP Bánh Givral),Công ty Cổ phần Kem Tràng Tiền (Công ty con của Công ty CP Bánh Givral),Công ty Cổ phần Kem Tràng Tiền (Công ty con của Công ty CP Bánh Givral),Hà Nội,"78,15%","76,83%","Sản xuất, kinh doanh các loại bánh, kem",,0.7815000000000001,0.7683,
