row_label_raw,row_label_full,col_0,01/01/2017 > Giá trị,01/01/2017 > Số có khả năngtrả nợ,Trong nám > Tăng,Trong nám > Giảm,31/12/2017 > Giá trị,31/12/2017 > Số có khả năngtrả nợ,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năngtrả nợ,numeric__Trong nám > Tăng,numeric__Trong nám > Giảm,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năngtrả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,444.988.280.000,444.988.280.000,-,103.283.280.000,341.705.000.000,341.705.000.000,444988280000.0,444988280000.0,,103283280000.0,341705000000.0,341705000000.0
Ngân hàng TMCP Quốc Dân (1),a) Vay ngắn hạn > Ngân hàng TMCP Quốc Dân (1),Ngân hàng TMCP Quốc Dân (1),444.988.280.000,444.988.280.000,-,103.283.280.000,341.705.000.000,341.705.000.000,444988280000.0,444988280000.0,,103283280000.0,341705000000.0,341705000000.0
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,571.354.877.332,571.354.877.332,44.270.606.397,63.925.483.729,551.700.000.000,551.700.000.000,571354877332.0,571354877332.0,44270606397.0,63925483729.0,551700000000.0,551700000000.0
Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),a) Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),500.000.000.000,500.000.000.000,-,-,500.000.000.000,500.000.000.000,500000000000.0,500000000000.0,,,500000000000.0,500000000000.0
Ngân hàng Thương mại TNHH MTV Đại Dương (3),a) Vay ngắn hạn > Ngân hàng Thương mại TNHH MTV Đại Dương (3),Ngân hàng Thương mại TNHH MTV Đại Dương (3),71.354.877.332,71.354.877.332,44.270.606.397,63.925.483.729,51.700.000.000,51.700.000.000,71354877332.0,71354877332.0,44270606397.0,63925483729.0,51700000000.0,51700000000.0
,,,1.016.343.157.332,1.016.343.157.332,44.270.606.397,167.208.763.729,893.405.000.000,893.405.000.000,1016343157332.0,1016343157332.0,44270606397.0,167208763729.0,893405000000.0,893405000000.0
b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,b) Vay đài hạn,,,,,,
- Vay đài hạn,b) Vay đài hạn > - Vay đài hạn,- Vay đài hạn,932.758.326.835,932.758.326.835,103.283.280.000,63.987.402.090,972.054.204.745,972.054.204.745,932758326835.0,932758326835.0,103283280000.0,63987402090.0,972054204745.0,972054204745.0
Ngân hàng TMCP Quốc Dân (1),b) Vay đài hạn > Ngân hàng TMCP Quốc Dân (1),Ngân hàng TMCP Quốc Dân (1),-,-,103.283.280.000,-,103.283.280.000,103.283.280.000,,,103283280000.0,,103283280000.0,103283280000.0
Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),b) Vay đài hạn > Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam(2),500.000.000.000,500.000.000.000,-,-,500.000.000.000,500.000.000.000,500000000000.0,500000000000.0,,,500000000000.0,500000000000.0
Ngân hàng Thương mại TNHH MTV Đại Dương (3),b) Vay đài hạn > Ngân hàng Thương mại TNHH MTV Đại Dương (3),Ngân hàng Thương mại TNHH MTV Đại Dương (3),432.758.326.835,432.758.326.835,-,63.987.402.090,368.770.924.745,368.770.924.745,432758326835.0,432758326835.0,,63987402090.0,368770924745.0,368770924745.0
,,,932.758.326.835,932.758.326.835,103.283.280.000,63.987.402.090,972.054.204.745,972.054.204.745,932758326835.0,932758326835.0,103283280000.0,63987402090.0,972054204745.0,972054204745.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay đài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(571.354.877.332),(571.354.877.332),(44.270.606.397),(63.925.483.729),(551.700.000.000),(551.700.000.000),-571354877332.0,-571354877332.0,-44270606397.0,-63925483729.0,-551700000000.0,-551700000000.0
Khoản đến hạn trả sau 12 tháng,b) Vay đài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,361.403.449.503,361.403.449.503,,,420.354.204.745,420.354.204.745,361403449503.0,361403449503.0,,,420354204745.0,420354204745.0
