row_label_raw,row_label_full,col_0,Quyền đầu tưDự án,Quyền sửdụng đất,Chương trìnhphần mềm,Cộng,numeric__Quyền đầu tưDự án,numeric__Quyền sửdụng đất,numeric__Chương trìnhphần mềm,numeric__Cộng
,,,,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,72.220.284.239,36.086.750.000,3.279.534.491,111.586.568.730,72220284239.0,36086750000.0,3279534491.0,111586568730.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,,-,110.000.000,110.000.000,,,110000000.0,110000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,72.220.284.239,36.086.750.000,3.389.534.491,111.696.568.730,72220284239.0,36086750000.0,3389534491.0,111696568730.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.415.560.621,-,2.362.725.132,4.778.285.753,2415560621.0,,2362725132.0,4778285753.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.884.302.895,-,402.450.269,2.286.753.164,1884302895.0,,402450269.0,2286753164.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.415.560.621,-,2.765.175.401,7.065.038.917,2415560621.0,,2765175401.0,7065038917.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,69.804.723.618,36.086.750.000,916.809.359,106.808.282.977,69804723618.0,36086750000.0,916809359.0,106808282977.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,69.804.723.618,36.086.750.000,624.359.090,104.631.529.813,69804723618.0,36086750000.0,624359090.0,104631529813.0
