row_label_raw,row_label_full,col_0,"Hàng hóa, thành phẩm","Dịch vụ, khác","Bất động sản, quyền kinh doanh bất động sản",Loại trừ,Tổng cộng toàn doanh nghiệp,"numeric__Hàng hóa, thành phẩm","numeric__Dịch vụ, khác","numeric__Bất động sản, quyền kinh doanh bất động sản",numeric__Loại trừ,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,555.269.431.795,529.035.016.087,49.409.430.643,-,1.133.713.878.525,555269431795.0,529035016087.0,49409430643.0,,1133713878525.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,268.614.375.524,226.585.750.724,119.202.092.174,-,614.402.218.422,268614375524.0,226585750724.0,119202092174.0,,614402218422.0
Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,Tổng chỉ phí mua TSCĐ,3.187.902.583,18.607.213.764,6.072.294.255,-,27.867.410.602,3187902583.0,18607213764.0,6072294255.0,,27867410602.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,584.374.417.452,4.361.371.613.434,459.165.961.787,(2.816.996.595.309),2.587.915.397.364,584374417452.0,4361371613434.0,459165961787.0,-2816996595309.0,2587915397364.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,-,-,-,-,2.766.334.591.243,,,,,2766334591243.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,584.374.417.452,4.361.371.613.434,459.165.961.787,(2.816.996.595.309),5.354.249.988.607,584374417452.0,4361371613434.0,459165961787.0,-2816996595309.0,5354249988607.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,128.149.652.744,2.559.449.093.895,43.579.133.493,(724.306.397.314),2.006.871.482.818,128149652744.0,2559449093895.0,43579133493.0,-724306397314.0,2006871482818.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,2.416.268.343.033,,,,,2416268343033.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,128.149.652.744,2.559.449.093.895,43.579.133.493,(724.306.397.314),4.423.139.825.851,128149652744.0,2559449093895.0,43579133493.0,-724306397314.0,4423139825851.0
