row_label_raw,row_label_full,- Tổng giá trị cổ phiếu > Công ty Cổ phần Kinh doanh Dịch vụ cao cấp Dầu khí Việt Nam (1),31/12/2017 > Giá gốcVND > 53.998.597.559 > 50.427.000.000,31/12/2017 > Giá trị hợp lýVND > 9.581.130.000,31/12/2017 > Dự phòngVND > (40.845.949.359) > (40.845.870.000),01/01/2017 > Giá gốcVND > 53.998.597.559 > 50.427.000.000,01/01/2017 > Giá trị hợp lýVND > 12.102.480.000,01/01/2017 > Dự phòngVND > (38.324.599.359) > (38.324.520.000),numeric__31/12/2017 > Giá gốcVND > 53.998.597.559 > 50.427.000.000,numeric__31/12/2017 > Giá trị hợp lýVND > 9.581.130.000,numeric__31/12/2017 > Dự phòngVND > (40.845.949.359) > (40.845.870.000),numeric__01/01/2017 > Giá gốcVND > 53.998.597.559 > 50.427.000.000,numeric__01/01/2017 > Giá trị hợp lýVND > 12.102.480.000,numeric__01/01/2017 > Dự phòngVND > (38.324.599.359) > (38.324.520.000)
Công ty Cổ phần Fafilm Thành phố Hồ Chí Minh (1),Công ty Cổ phần Fafilm Thành phố Hồ Chí Minh (1),Công ty Cổ phần Fafilm Thành phố Hồ Chí Minh (1),3.571.425.000,,-,3.571.425.000,,-,3571425000.0,,,3571425000.0,,
Công ty Cổ phần Thủy sản Hùng Vương,Công ty Cổ phần Thủy sản Hùng Vương,Công ty Cổ phần Thủy sản Hùng Vương,172.559,,(79.359),172.559,,(79.359),172559.0,,-79359.0,172559.0,,-79359.0
,,,53.998.597.559,9.581.130.000,(40.845.949.359),53.998.597.559,12.102.480.000,(38.324.599.359),53998597559.0,9581130000.0,-40845949359.0,53998597559.0,12102480000.0,-38324599359.0
