row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2017,01/01/2017,numeric__Mối quan hệ,numeric__31/12/2017,numeric__01/01/2017
,,,,VND,VND,,,
Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,2.034.655.250,2.100.518.246,,2034655250.0,2100518246.0
Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty liên kết,-,44.952.436,,,44952436.0
Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Bên liên quan khác,2.034.655.250,2.034.655.250,,2034655250.0,2034655250.0
Công ty TNHH VNT,Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,-,20.910.560,,,20910560.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,25.000.000,-,,25000000.0,
Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty mẹ,25.000.000,-,,25000000.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,30.620.000.000,30.620.000.000,,30620000000.0,30620000000.0
Công ty TNHH VNT,Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,28.600.000.000,28.600.000.000,,28600000000.0,28600000000.0
Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Bên liên quan khác,2.020.000.000,2.020.000.000,,2020000000.0,2020000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,637.648.983.751,636.539.536.674,,637648983751.0,636539536674.0
Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Công ty liên kết,157.987.290,61.000.000,,157987290.0,61000000.0
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết,1.191.259.494,1.191.259.494,,1191259494.0,1191259494.0
Công ty TNHH VNT,Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,507.729.119.045,506.716.659.258,,507729119045.0,506716659258.0
Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Công ty Cổ phần Phát triển Thương mại Dịch vụ Hà Thành,Bên liên quan khác,409.169.994,409.169.994,,409169994.0,409169994.0
Hà Trọng Nam,Hà Trọng Nam,Hà Trọng Nam,Phó chủ tịch HDQT,128.161.447.928,128.161.447.928,,128161447928.0,128161447928.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,,528.016.082.500,528.016.082.500,,528016082500.0,528016082500.0
Công ty TNHH VNT,Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,528.016.082.500,528.016.082.500,,528016082500.0,528016082500.0
