row_label_raw,row_label_full,Phí ký kết hợp đồng mua hàng hoãn lại(Thuyết minh 32(*)),31/12/2025VND > 38.907.340.000,1/1/2025VND > 130.786.800.000,numeric__31/12/2025VND > 38.907.340.000,numeric__1/1/2025VND > 130.786.800.000
Đặt cọc ngắn hạn nhận được,Đặt cọc ngắn hạn nhận được,Đặt cọc ngắn hạn nhận được,9.930.854.520,4.401.250.000,9930854520.0,4401250000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,700.205.100,700.205.100,700205100.0,700205100.0
Kinh phí công đoàn và bảo hiểm,Kinh phí công đoàn và bảo hiểm,Kinh phí công đoàn và bảo hiểm,372.457.211,292.765.067,372457211.0,292765067.0
Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọnmua cổ phần cho nhân viên,Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọnmua cổ phần cho nhân viên,Tiền tạm ứng từ nhân viên cho kế hoạch về quyền chọnmua cổ phần cho nhân viên,-,809.990.000,,809990000.0
Phải trả khác,Phải trả khác,Phải trả khác,2.973.180.732,3.362.601.161,2973180732.0,3362601161.0
,,,52.884.037.563,140.353.611.328,52884037563.0,140353611328.0
