row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2025VND,1/1/2025VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
▪ Công ty Cổ phần Tập đoàn Masan,Công ty mẹ cấp cao nhất > ▪ Công ty Cổ phần Tập đoàn Masan,▪ Công ty Cổ phần Tập đoàn Masan,3.179.902.209,1.616.591.085,3179902209.0,1616591085.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
▪ Công ty Cổ phần The Supra,Các bên liên quan khác > ▪ Công ty Cổ phần The Supra,▪ Công ty Cổ phần The Supra,33.941.147.697,-,33941147697.0,
▪ Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,Các bên liên quan khác > ▪ Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,▪ Công ty Cổ phần Dịch vụ Thương mại Tổng hợp WinCommerce,10.472.410.511,27.475.485.076,10472410511.0,27475485076.0
▪ Công ty TNHH Một Thành viên Công nghiệp Masan,Các bên liên quan khác > ▪ Công ty TNHH Một Thành viên Công nghiệp Masan,▪ Công ty TNHH Một Thành viên Công nghiệp Masan,8.956.954.577,13.723.523.934,8956954577.0,13723523934.0
▪ Công ty Cổ phần The CrownX,Các bên liên quan khác > ▪ Công ty Cổ phần The CrownX,▪ Công ty Cổ phần The CrownX,4.622.272.666,1.612.828.884,4622272666.0,1612828884.0
▪ Công ty Cổ phần Hàng tiêu dùng Masan,Các bên liên quan khác > ▪ Công ty Cổ phần Hàng tiêu dùng Masan,▪ Công ty Cổ phần Hàng tiêu dùng Masan,3.871.982.765,9.572.068.082,3871982765.0,9572068082.0
▪ Công ty TNHH The Sherpa,Các bên liên quan khác > ▪ Công ty TNHH The Sherpa,▪ Công ty TNHH The Sherpa,384.045.107,-,384045107.0,
▪ Công ty Cổ phần Mobicast,Các bên liên quan khác > ▪ Công ty Cổ phần Mobicast,▪ Công ty Cổ phần Mobicast,48.803.900,66.012.357,48803900.0,66012357.0
▪ Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,Các bên liên quan khác > ▪ Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,▪ Công ty TNHH Đầu tư Sản xuất Phát triển Nông nghiệp Wineco,-,186.099.000,,186099000.0
