row_label_raw,row_label_full,col_0,1/1/2025Giá trị ghi sổ/Số có khả năngtrả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2025Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__1/1/2025Giá trị ghi sổ/Số có khả năngtrả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2025Giá trị ghi sổ/Số có khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.194.230.952.663,5.381.698.980.224,(5.380.255.232.551),1.195.674.700.336,1194230952663.0,5381698980224.0,-5380255232551.0,1195674700336.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,533.980.778.364,364.535.631.013,(560.834.178.634),337.682.230.743,533980778364.0,364535631013.0,-560834178634.0,337682230743.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,12.257.043.834,13.379.863.800,(12.257.043.833),13.379.863.801,12257043834.0,13379863800.0,-12257043833.0,13379863801.0
Trái phiếu dài hạn đến hạn trả trong vòng 12 tháng,Trái phiếu dài hạn đến hạn trả trong vòng 12 tháng,Trái phiếu dài hạn đến hạn trả trong vòng 12 tháng,-,1.995.218.187.989,-,1.995.218.187.989,,1995218187989.0,,1995218187989.0
,,,1.740.468.774.861,7.754.832.663.026,(5.953.346.455.018),3.541.954.982.869,1740468774861.0,7754832663026.0,-5953346455018.0,3541954982869.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,
,,,Loạitiền tệ,Lãi suấtnăm,31/12/2025VND,1/1/2025VND,,,,
Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,Các khoản vay ngân hàng,,,,
• Các khoản vay ngân hàng không đảm bảo,Các khoản vay ngân hàng > • Các khoản vay ngân hàng không đảm bảo,• Các khoản vay ngân hàng không đảm bảo,VND,"4,55% - 6,80%",1.195.674.700.336,1.194.230.952.663,,,1195674700336.0,1194230952663.0
Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,Các khoản vay ngân hàng không đảm bảo của các công ty con với giá trị ghi sổ là 1.195.675 triệu VND (1/1/2025: 1.194.231 triệu VND) được bảo lãnh bởi Công ty và công ty mẹ cấp cao nhất của Công ty.,,,,
