row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển và thiết bị truyền dẫn VND,Dụng cụ văn phòng VND,Gia sức VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển và thiết bị truyền dẫn VND,numeric__Dụng cụ văn phòng VND,numeric__Gia sức VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.298.597.798.547,2.252.466.100.839,74.573.966.707,44.459.117.228,19.145.772.583,5.689.242.755.904,3298597798547.0,2252466100839.0,74573966707.0,44459117228.0,19145772583.0,5689242755904.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,802.253.891,8.378.526.648,994.190.001,505.790.000,-,10.680.760.540,802253891.0,8378526648.0,994190001.0,505790000.0,,10680760540.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,5.569.302.972,44.985.957.230,-,-,-,50.555.260.202,5569302972.0,44985957230.0,,,,50555260202.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(195.200.000),-,-,-,(195.200.000),,-195200000.0,,,,-195200000.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(1.526.545.604),(3.788.522.461),(302.000.001),-,(7.314.229.229),(12.931.297.295),-1526545604.0,-3788522461.0,-302000001.0,,-7314229229.0,-12931297295.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.303.442.809.806,2.301.846.862.256,75.266.156.707,44.964.907.228,11.831.543.354,5.737.352.279.351,3303442809806.0,2301846862256.0,75266156707.0,44964907228.0,11831543354.0,5737352279351.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,642.879.585.425,659.127.251.598,37.041.304.299,33.095.357.454,5.469.573.593,1.377.613.072.369,642879585425.0,659127251598.0,37041304299.0,33095357454.0,5469573593.0,1377613072369.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,135.399.316.913,191.318.765.181,7.145.238.389,4.869.680.710,4.174.786.418,342.907.787.611,135399316913.0,191318765181.0,7145238389.0,4869680710.0,4174786418.0,342907787611.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(726.897.336),(2.458.063.132),(192.944.438),-,(3.881.274.162),(7.259.179.068),-726897336.0,-2458063132.0,-192944438.0,,-3881274162.0,-7259179068.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,777.552.005.002,847.987.953.647,43.993.598.250,37.965.038.164,5.763.085.849,1.713.261.680.912,777552005002.0,847987953647.0,43993598250.0,37965038164.0,5763085849.0,1713261680912.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.655.718.213.122,1.593.338.849.241,37.532.662.408,11.363.759.774,13.676.198.990,4.311.629.683.535,2655718213122.0,1593338849241.0,37532662408.0,11363759774.0,13676198990.0,4311629683535.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.525.890.804.804,1.453.858.908.609,31.272.558.457,6.999.869.064,6.068.457.505,4.024.090.598.439,2525890804804.0,1453858908609.0,31272558457.0,6999869064.0,6068457505.0,4024090598439.0
