row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2025VND,1/1/2025VND,31/12/2025VND,1/1/2025VND,31/12/2025VND,1/1/2025VND,,,,,,
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,2.452.317.081.254,2.446.115.184.862,4.471.426.270.768,4.434.133.045.941,6.923.743.352.022,6.880.248.230.803,2452317081254.0,2446115184862.0,4471426270768.0,4434133045941.0,6923743352022.0,6880248230803.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,-,-,2.103.964.883.942,2.114.054.896.942,2.103.964.883.942,2.114.054.896.942,,,2103964883942.0,2114054896942.0,2103964883942.0,2114054896942.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,2.339.950.116.654,2.234.201.744.955,,,,,2339950116654.0,2234201744955.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,11.367.658.352.618,11.228.504.872.700,,,,,11367658352618.0,11228504872700.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.284.537.979.717,1.283.902.635.291,2.392.923.418.061,3.046.207.514.764,3.677.461.397.778,4.330.110.150.055,1284537979717.0,1283902635291.0,2392923418061.0,3046207514764.0,3677461397778.0,4330110150055.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,2.489.505.946.395,2.429.257.240.353,,,,,2489505946395.0,2429257240353.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,6.166.967.344.173,6.759.367.390.408,,,,,6166967344173.0,6759367390408.0
,,,Trang trại,Trang trại,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt,Hợp nhất,Hợp nhất,,,,,,
,,,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,4.958.440.919,51.864.047.489,71.716.340.063,66.814.031.097,76.674.780.982,118.678.078.586,4958440919.0,51864047489.0,71716340063.0,66814031097.0,76674780982.0,118678078586.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,173.168.665.125,172.363.945.618,234.353.411.648,250.530.048.776,407.522.076.773,422.893.994.394,173168665125.0,172363945618.0,234353411648.0,250530048776.0,407522076773.0,422893994394.0
