row_label_raw,row_label_full,col_0,Trang trại,Trang trại_1,Thịt và các sản phẩm từ thịt,Thịt và các sản phẩm từ thịt_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Trang trại,numeric__Trang trại_1,numeric__Thịt và các sản phẩm từ thịt,numeric__Thịt và các sản phẩm từ thịt_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,2025VND,2024VND,,,,,,,,
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,2.119.911.928.407,1.846.314.744.882,7.110.183.589.572,5.803.401.147.331,-,-,9.230.095.517.979,7.649.715.892.213,2119911928407.0,1846314744882.0,7110183589572.0,5803401147331.0,,,9230095517979.0,7649715892213.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,1.224.784.125.727,1.015.683.277.294,326.190.497,503.753.320,(1.225.110.316.224),(1.016.187.030.614),-,-,1224784125727.0,1015683277294.0,326190497.0,503753320.0,-1225110316224.0,-1016187030614.0,,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,3.344.696.054.134,2.861.998.022.176,7.110.509.780.069,5.803.904.900.651,(1.225.110.316.224),(1.016.187.030.614),9.230.095.517.979,7.649.715.892.213,3344696054134.0,2861998022176.0,7110509780069.0,5803904900651.0,-1225110316224.0,-1016187030614.0,9230095517979.0,7649715892213.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,854.260.937.682,595.386.509.744,(345.842.773.686),(427.619.569.506),-,-,508.418.163.996,167.766.940.238,854260937682.0,595386509744.0,-345842773686.0,-427619569506.0,,,508418163996.0,167766940238.0
Doanh thu/(Chi phí) tài chính thuần không phân bổ,Doanh thu/(Chi phí) tài chính thuần không phân bổ,Doanh thu/(Chi phí) tài chính thuần không phân bổ,,,,,,,118.945.561.738,(156.042.998.145),,,,,,,118945561738.0,-156042998145.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,627.363.725.734,11.723.942.093,,,,,,,627363725734.0,11723942093.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,1.345.309.926,18.673.805.889,,,,,,,1345309926.0,18673805889.0
Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,,,,,,,(4.993.045.554),(7.692.161.018),,,,,,,-4993045554.0,-7692161018.0
Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,Chi phí khác (Chi phí)/Lợi ích thuế thu nhập doanh nghiệp,,,,,,,(4.755.113.953),2.640.869.232,,,,,,,-4755113953.0,2640869232.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,618.960.876.153,25.346.456.196,,,,,,,618960876153.0,25346456196.0
