row_label_raw,row_label_full,Phí ký kết hợp đồng mua hàng hoãn lại (Thuyết minh 32(*)),31/12/2025VND > 21.199.140.006,1/1/2025VND > 247.723.800.000,numeric__31/12/2025VND > 21.199.140.006,numeric__1/1/2025VND > 247.723.800.000
Đặt cọc dài hạn nhận được,Đặt cọc dài hạn nhận được,Đặt cọc dài hạn nhận được,22.682.500.000,19.341.499.997,22682500000.0,19341499997.0
,,,43.881.640.006,267.065.299.997,43881640006.0,267065299997.0
