row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,Tỷ lệ lợi ích kinh tế/quyền biểu quyết,Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết,numeric__Tỷ lệ lợi ích kinh tế/quyền biểu quyết_1
STT,STT,STT,Tên công ty,Hoạt động chính,31/12/2025,1/1/2025,,,,
Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,Các công ty con sở hữu trực tiếp,,,,
1,Các công ty con sở hữu trực tiếp > 1,1,Công ty TNHH MNS Meat (“MNM”),"(*)Tur vấn quản lý đầu tư (trừ tư vántài chính, kế toán và pháp luật)","99,99%","99,99%",,,0.9998999999999999,0.9998999999999999
2,Các công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phần 3F VIỆT (“3FV”),Chăn nuôi gia cầm,"51,00%","51,00%",,,0.51,0.51
3,Các công ty con sở hữu trực tiếp > 3,3,Công ty TNHH MML Farm Nghệ An (“FNA”),Chăn nuôi lợn và sản xuất giống lợn,"100,00%","100,00%",,,1.0,1.0
4,Các công ty con sở hữu trực tiếp > 4,4,Công ty TNHH MEATDeli HN (“MHN”),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","100,00%","100,00%",,,1.0,1.0
5,Các công ty con sở hữu trực tiếp > 5,5,Công ty Cổ phần Masan JinJu (“MSJ”),"Chế biến, bảo quản thịt và các sản phẩm từ thịt","74,99%","74,99%",,,0.7498999999999999,0.7498999999999999
