row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm 2021,Năm 2020,numeric__Nội dung nghiệp vụ,numeric__Năm 2021,numeric__Năm 2020
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia (Công ty con).,,,
,,,1. Bán hàng trong năm:,34.150.660.904,353.933.693.000,,34150660904.0,353933693000.0
,,,- CN QSDD KDC Lắp Vò,6.961.863.000,21.697.907.000,,6961863000.0,21697907000.0
,,,- Tòa nhà 12 tầng,26.468.797.904,,,26468797904.0,
,,,- Tổng thầu XD nhà máy số 02,,51.343.066.000,,,51343066000.0
,,,- Kho lạnh số 04,,30.172.720.000,,,30172720000.0
,,,- Đất Tạ Quang Bửu,,250.000.000.000,,,250000000000.0
,,,- Thuê đất,720.000.000,720.000.000,,720000000.0,720000000.0
,,,2. Mua hàng trong năm,40.378.810.592,32.409.154.600,,40378810592.0,32409154600.0
,,,- Cá tra Fillet động lạnh,16.154.810.592,32.124.254.600,,16154810592.0,32124254600.0
,,,- Phí ủy thác xuất khẩu cá tra,224.000.000,284.900.000,,224000000.0,284900000.0
,,,"- Phí huê văn phòng, biển quảng cáo",24.000.000.000,,,24000000000.0,
,,,3. Vay huy động,53.000.000.000,,,53000000000.0,
,,,- Vay huy động vốn,53.000.000.000,,,53000000000.0,
,,,4. Trả tiền trong năm,30.096.328.257,,,30096328257.0,
,,,- Lãi vay huy động,2.330.738.000,,,2330738000.0,
,,,- Lãi vay công trình,6.266.798.000,,,6266798000.0,
,,,- Trả tiền vay,21.498.792.257,,,21498792257.0,
,,,5. Các khoản khác,21.568.152.695,24.600.576.725,,21568152695.0,24600576725.0
,,,- Ủy thác xuất khẩu cá tra,16.841.649.600,23.282.906.700,,16841649600.0,23282906700.0
,,,- Thu hộ cước vận chuyển,4.726.503.095,1.317.670.025,,4726503095.0,1317670025.0
+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),,,
,,,1. Mua hàng trong năm,3.880.399.748,7.799.605.762,,3880399748.0,7799605762.0
,,,"- Nhà hàng, KS, tour du lịch",3.880.399.748,7.799.605.762,,3880399748.0,7799605762.0
,,,2. Vay huy động,81.000.000.000,65.700.000.000,,81000000000.0,65700000000.0
,,,- Vay huy động vốn,81.000.000.000,65.700.000.000,,81000000000.0,65700000000.0
,,,3. Thu trong năm,27.000.000.000,,,27000000000.0,
,,,- Mượn tạm,27.000.000.000,,,27000000000.0,
,,,4. Trả tiền trong năm,109.343.382.000,102.821.061.000,,109343382000.0,102821061000.0
,,,- Trả lãi vay,1.343.382.000,5.121.061.000,,1343382000.0,5121061000.0
,,,- Trả tiền vay,81.000.000.000,97.700.000.000,,81000000000.0,97700000000.0
,,,- Trả tiền mượn tạm,27.000.000.000,,,27000000000.0,
+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),,,
,,,1. Mua hàng trong năm,726.104.078,3.950.945.200,,726104078.0,3950945200.0
,,,"- Nhà hàng, KS, vé máy bay",412.604.078,405.142.000,,412604078.0,405142000.0
,,,- Thanh lý tài sản,313.500.000,,,313500000.0,
,,,- Tiền son bột,,45.803.200,,,45803200.0
,,,- Thuê bảng hiệu và 03 văn phòng,,3.500.000.000,,,3500000000.0
