row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
+ Công ty TNHH Dũng Thịnh Phát,+ Công ty TNHH Dũng Thịnh Phát,+ Công ty TNHH Dũng Thịnh Phát,"66,00%","66,00%",(5.220.809),101.549.870,0.66,0.66,-5220809.0,101549870.0
+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,+ Công ty CP Du Lịch Đồng Tháp,"86,76%","86,76%",(8.481.560.471),(5.545.664.043),0.8676,0.8676,-8481560471.0,-5545664043.0
+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty CP Đầu Tư Tài Chính & Truyền Thông Quốc Tế,"63,94%","63,94%",(2.556.477.795),(8.049.401.106),0.6394,0.6394,-2556477795.0,-8049401106.0
+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,+ Công ty CP Du Lịch An Giang,"71,82%","71,82%",(16.164.546.950),(12.250.515.282),0.7182,0.7182,-16164546950.0,-12250515282.0
+ Công ty CP Nhụt Hồng,+ Công ty CP Nhụt Hồng,+ Công ty CP Nhụt Hồng,"60,00%","60,00%",55.051.240.872,115.429.340.775,0.6,0.6,55051240872.0,115429340775.0
+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,+ Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",52.680.889.102,74.364.749.407,1.0,1.0,52680889102.0,74364749407.0
+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",2.850.925.277,21.992.299.339,1.0,1.0,2850925277.0,21992299339.0
+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,+ Công ty CP Đầu tư và phát triển Đa Quốc Gia,"51,23%","51,23%",110.572.543.946,419.066.135.931,0.5123,0.5123,110572543946.0,419066135931.0
+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,+ Công ty CP Đầu tư Du lịch và Phát triển Thuỷ sản,"43,95%","82,67%",34.660.450.384,179.297.331.615,0.4395,0.8267,34660450384.0,179297331615.0
+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,+ Công ty CP Tư vấn và Đầu tư Tài chính,"53,83%","91,95%",(1.935.145.833),37.441.979,0.5383,0.9195,-1935145833.0,37441979.0
+ Công ty CP Điện Mặt Trời EUROPLAST Long An,+ Công ty CP Điện Mặt Trời EUROPLAST Long An,+ Công ty CP Điện Mặt Trời EUROPLAST Long An,"76,67%","76,67%",63.113.758.605,184.498.872.292,0.7667,0.7667,63113758605.0,184498872292.0
