row_label_raw,row_label_full,a) Ngoại tệ các loại,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"387.089,21","180.645,58",387089.21,180645.58
- Yên nhật,- Yên nhật,- Yên nhật,"5,00",,5.0,
