row_label_raw,row_label_full,a) Vay ngắn hạn,31/12/2021 > Giá trị,31/12/2021 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2021 > Giá trị,01/01/2021 > Số có khả năng trả nợ,numeric__31/12/2021 > Giá trị,numeric__31/12/2021 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2021 > Giá trị,numeric__01/01/2021 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.004.205.230.249,1.004.205.230.249,2.988.546.180.199,3.094.362.301.424,1.110.021.351.474,1.110.021.351.474,1004205230249.0,1004205230249.0,2988546180199.0,3094362301424.0,1110021351474.0,1110021351474.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,299.829.470.315,299.829.470.315,880.429.179.487,778.581.736.533,197.982.027.361,197.982.027.361,299829470315.0,299829470315.0,880429179487.0,778581736533.0,197982027361.0,197982027361.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,219.954.740.236,219.954.740.236,490.230.862.944,496.723.466.742,226.447.344.034,226.447.344.034,219954740236.0,219954740236.0,490230862944.0,496723466742.0,226447344034.0,226447344034.0
- Ngân hàng VP Bank Tp.HCM,- Ngân hàng VP Bank Tp.HCM,- Ngân hàng VP Bank Tp.HCM,250.152.798.500,250.152.798.500,914.473.961.914,1.061.908.002.502,397.586.839.088,397.586.839.088,250152798500.0,250152798500.0,914473961914.0,1061908002502.0,397586839088.0,397586839088.0
- NH TMCP Á Châu - CN An Giang,- NH TMCP Á Châu - CN An Giang,- NH TMCP Á Châu - CN An Giang,29.389.067.630,29.389.067.630,106.967.182.330,131.720.062.404,54.141.947.704,54.141.947.704,29389067630.0,29389067630.0,106967182330.0,131720062404.0,54141947704.0,54141947704.0
- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,- Ngân hàng Phát Triển Tp.HCM,30.000.000.000,30.000.000.000,125.771.904.950,148.604.043.598,52.832.138.648,52.832.138.648,30000000000.0,30000000000.0,125771904950.0,148604043598.0,52832138648.0,52832138648.0
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,17.260.037.500,17.260.037.500,34.290.153.298,47.030.115.798,30.000.000.000,30.000.000.000,17260037500.0,17260037500.0,34290153298.0,47030115798.0,30000000000.0,30000000000.0
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,29.952.368.490,29.952.368.490,88.210.279.110,117.360.751.333,59.102.840.713,59.102.840.713,29952368490.0,29952368490.0,88210279110.0,117360751333.0,59102840713.0,59102840713.0
- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,71.317.657.960,71.317.657.960,206.696.687.490,208.288.713.357,72.909.683.827,72.909.683.827,71317657960.0,71317657960.0,206696687490.0,208288713357.0,72909683827.0,72909683827.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,56.349.089.618,56.349.089.618,141.475.968.676,104.145.409.157,19.018.530.099,19.018.530.099,56349089618.0,56349089618.0,141475968676.0,104145409157.0,19018530099.0,19018530099.0
Cộng,Cộng,Cộng,1.004.205.230.249,1.004.205.230.249,2.988.546.180.199,3.094.362.301.424,1.110.021.351.474,1.110.021.351.474,1004205230249.0,1004205230249.0,2988546180199.0,3094362301424.0,1110021351474.0,1110021351474.0
