row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2021 > Giá trị,Giá trị số sách > 31/12/2021 > Dự phòng,Giá trị số sách > 01/01/2021 > Giá trị,Giá trị số sách > 01/01/2021 > Dự phòng,Giá trị hợp lý > 31/12/2021 > Giá trị,Giá trị hợp lý > 01/01/2021 > Giá trị,numeric__Giá trị số sách > 31/12/2021 > Giá trị,numeric__Giá trị số sách > 31/12/2021 > Dự phòng,numeric__Giá trị số sách > 01/01/2021 > Giá trị,numeric__Giá trị số sách > 01/01/2021 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2021 > Giá trị,numeric__Giá trị hợp lý > 01/01/2021 > Giá trị
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,170.982.479.052,,128.736.188.533,,170.982.479.052,128.736.188.533,170982479052.0,,128736188533.0,,170982479052.0,128736188533.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,365.979.737.197,(9.874.620.468),295.041.319.490,(9.874.620.468),356.105.116.729,285.166.699.022,365979737197.0,-9874620468.0,295041319490.0,-9874620468.0,356105116729.0,285166699022.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,814.403.280.410,,516.869.444.977,,814.403.280.410,516.869.444.977,814403280410.0,,516869444977.0,,814403280410.0,516869444977.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,190.465.158.334,,208.525.873.081,,190.465.158.334,208.525.873.081,190465158334.0,,208525873081.0,,190465158334.0,208525873081.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,378.375.751.147,,227.750.000.000,,378.375.751.147,227.750.000.000,378375751147.0,,227750000000.0,,378375751147.0,227750000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.315.767.327.783,(11.359.115.976),2.287.660.423.712,(5.072.718.869),2.304.408.211.807,2.282.587.704.843,2315767327783.0,-11359115976.0,2287660423712.0,-5072718869.0,2304408211807.0,2282587704843.0
Cộng,Tài sản tài chính > Cộng,Cộng,4.235.973.733.923,(21.233.736.444),3.664.583.249.793,(14.947.339.337),4.214.739.997.479,3.649.635.910.456,4235973733923.0,-21233736444.0,3664583249793.0,-14947339337.0,4214739997479.0,3649635910456.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.132.277.824.840,,1.301.381.138.002,,1.132.277.824.840,1.301.381.138.002,1132277824840.0,,1301381138002.0,,1132277824840.0,1301381138002.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,241.608.444.279,,178.875.083.452,,241.608.444.279,178.875.083.452,241608444279.0,,178875083452.0,,241608444279.0,178875083452.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,3.397.168.026.808,,3.299.267.256.074,,3.397.168.026.808,3.299.267.256.074,3397168026808.0,,3299267256074.0,,3397168026808.0,3299267256074.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,3.869.840.851,,4.576.169.142,,3.869.840.851,4.576.169.142,3869840851.0,,4576169142.0,,3869840851.0,4576169142.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,22.868.562.055,,20.213.833.985,,22.868.562.055,20.213.833.985,22868562055.0,,20213833985.0,,22868562055.0,20213833985.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,4.797.792.698.833,-,4.804.313.480.655,-,4.797.792.698.833,4.804.313.480.655,4797792698833.0,,4804313480655.0,,4797792698833.0,4804313480655.0
