row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,360.936.003.603,360.936.003.603,543.929.316.765,543.929.316.765,360936003603.0,360936003603.0,543929316765.0,543929316765.0
Phải trả từ chuyển nhượng bất động sản,Phải trả từ chuyển nhượng bất động sản,Phải trả từ chuyển nhượng bất động sản,663.342.268,663.342.268,9.181.666.268,9.181.666.268,663342268.0,663342268.0,9181666268.0,9181666268.0
Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,Phải trả từ xây dựng công trình,64.032.383.570,64.032.383.570,96.542.189.294,96.542.189.294,64032383570.0,64032383570.0,96542189294.0,96542189294.0
Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,Phải trả từ sản xuất và thương mại,231.158.340.165,231.158.340.165,273.650.374.367,273.650.374.367,231158340165.0,231158340165.0,273650374367.0,273650374367.0
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,64.600.633.932,64.600.633.932,158.575.456.587,158.575.456.587,64600633932.0,64600633932.0,158575456587.0,158575456587.0
"Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn","Phải trả từ dịch vụ du lịch, nhà hàng và khách sạn",95.579.980,95.579.980,1.267.667.980,1.267.667.980,95579980.0,95579980.0,1267667980.0,1267667980.0
Phải trả khác,Phải trả khác,Phải trả khác,385.723.688,385.723.688,4.711.962.269,4.711.962.269,385723688.0,385723688.0,4711962269.0,4711962269.0
Dài hạn,Dài hạn,Dài hạn,771.341.821.237,771.341.821.237,757.451.821.237,757.451.821.237,771341821237.0,771341821237.0,757451821237.0,757451821237.0
Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,Phải trả từ cung cấp điện năng lượng mặt trời,771.341.821.237,771.341.821.237,757.451.821.237,757.451.821.237,771341821237.0,771341821237.0,757451821237.0,757451821237.0
Cộng,Cộng,Cộng,1.132.277.824.840,1.132.277.824.840,1.301.381.138.002,1.301.381.138.002,1132277824840.0,1132277824840.0,1301381138002.0,1301381138002.0
