row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Tổng Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Tổng Cộng
Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,Cho năm tài chính kết thúc ngày 31/12/2020,,,,,,
Vào ngày 01/01/2020,Cho năm tài chính kết thúc ngày 31/12/2020 > Vào ngày 01/01/2020,Vào ngày 01/01/2020,2.588.678.490.000,45.056.200.000,70.099.684.648,4.971.647.795,357.672.111.755,3.066.478.134.198,2588678490000.0,45056200000.0,70099684648.0,4971647795.0,357672111755.0,3066478134198.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,,,,,,,,,,,,
Lãi trong năm trước,Tăng vốn trong năm trước > Lãi trong năm trước,Lãi trong năm trước,,,,,509.518.887.100,509.518.887.100,,,,,509518887100.0,509518887100.0
Tăng do trích lập từ lợi nhuận,Tăng vốn trong năm trước > Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Tại ngày 31/12/2020,Giảm khác > Tại ngày 31/12/2020,Tại ngày 31/12/2020,2.588.678.490.000,45.056.200.000,78.099.684.648,4.971.647.795,857.190.998.855,3.573.997.021.298,2588678490000.0,45056200000.0,78099684648.0,4971647795.0,857190998855.0,3573997021298.0
Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,Cho năm tài chính kết thúc ngày 31/12/2021,,,,,,
Vào ngày 01/01/2021,Cho năm tài chính kết thúc ngày 31/12/2021 > Vào ngày 01/01/2021,Vào ngày 01/01/2021,2.588.678.490.000,45.056.200.000,78.099.684.648,4.971.647.795,857.190.998.855,3.573.997.021.298,2588678490000.0,45056200000.0,78099684648.0,4971647795.0,857190998855.0,3573997021298.0
Tăng vốn trong năm này,Tăng vốn trong năm này,Tăng vốn trong năm này,,,,,,,,,,,,
Lãi trong năm này,Tăng vốn trong năm này > Lãi trong năm này,Lãi trong năm này,,,,,467.166.609.526,467.166.609.526,,,,,467166609526.0,467166609526.0
Tăng do trích từ lợi nhuận,Tăng vốn trong năm này > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Tăng khác,Tăng khác,Tăng khác,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Tăng khác > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Tại ngày 31/12/2021,Giảm khác > Tại ngày 31/12/2021,Tại ngày 31/12/2021,2.588.678.490.000,45.056.200.000,86.099.684.648,4.971.647.795,1.314.357.608.381,4.039.163.630.824,2588678490000.0,45056200000.0,86099684648.0,4971647795.0,1314357608381.0,4039163630824.0
