row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm 2021,Năm 2020,numeric__Nội dung nghiệp vụ,numeric__Năm 2021,numeric__Năm 2020
,,,2. Vay huy động,2.000.000.000,,,2000000000.0,
,,,- Vay huy động vốn,2.000.000.000,,,2000000000.0,
,,,3. Trả tiền trong năm,2.095.862.000,,,2095862000.0,
,,,- Lãi vay,95.862.000,,,95862000.0,
,,,- Trả tiền vay,2.000.000.000,,,2000000000.0,
+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế (Công ty con),,,
,,,1. Vay huy động,4.800.000.000,,,4800000000.0,
,,,- Huy động vốn vay,4.800.000.000,,,4800000000.0,
,,,2. Trả tiền trong năm,500.000.000,,,500000000.0,
,,,- Trả tiền vay,500.000.000,,,500000000.0,
+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),,,
,,,1. Bán hàng trong năm:,2.157.000.000,3.600.000.000,,2157000000.0,3600000000.0
,,,- Cho thuê Tài Sản,2.157.000.000,3.600.000.000,,2157000000.0,3600000000.0
,,,2. Mua hàng trong năm,,131.495.000,,,131495000.0
,,,- Bảo hành khách sạn Sông Trà,,131.495.000,,,131495000.0
,,,3. Thu tiền trong năm,47.422.610.772,,,47422610772.0,
,,,- Thu hoàn tiền mượn tạm,47.422.610.772,,,47422610772.0,
+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính (Công ty con),,,
,,,1. Trả tiền trong năm,14.830.959.996,33.854.898.353,,14830959996.0,33854898353.0
,,,- Trả tiền tư vấn thiết kế,9.593.442.000,25.822.578.353,,9593442000.0,25822578353.0
,,,- Hoàn trả tiền mua nền kdc BX Châu,5.237.517.996,8.032.320.000,,5237517996.0,8032320000.0
+ Công ty Cổ phần Nhụt Hồng (Công ty con),+ Công ty Cổ phần Nhụt Hồng (Công ty con),+ Công ty Cổ phần Nhụt Hồng (Công ty con),+ Công ty Cổ phần Nhụt Hồng (Công ty con),+ Công ty Cổ phần Nhụt Hồng (Công ty con),+ Công ty Cổ phần Nhụt Hồng (Công ty con),,,
,,,1. Bán hàng trong năm:,11.134.219.600,51.015.015.000,,11134219600.0,51015015000.0
,,,- Thi công XD DAKDC Cà Mau,4.158.300.300,40.553.360.000,,4158300300.0,40553360000.0
,,,- Phí môi giới BDS,6.975.919.300,10.461.655.000,,6975919300.0,10461655000.0
+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),+Cty CP Điện Mặt Trời EUROPLAST Long An (Công ty con),,,
,,,1. Bán hàng trong năm:,3.488.208.240,6.688.939.697,,3488208240.0,6688939697.0
,,,"- DV Thuê giám sát, QL vận hành",3.488.208.240,6.688.939.697,,3488208240.0,6688939697.0
,,,2. Vay huy động,87.860.820.000,,,87860820000.0,
,,,- Vay huy động vốn,87.860.820.000,,,87860820000.0,
,,,3. Trả tiền trong năm,17.590.697.958,,,17590697958.0,
,,,- Lãi vay,3.529.877.958,,,3529877958.0,
,,,- Trả tiền vay,14.060.820.000,,,14060820000.0,
+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,,,
,,,1. Mua hàng trong năm,2.470.980.294,1.137.052.000,,2470980294.0,1137052000.0
,,,- Thuê QL vận hành NM SM Solar,2.470.980.294,,,2470980294.0,
,,,- Lắp đặt hệ thống điện năng lượng mặt trời,,1.137.052.000,,,1137052000.0
,,,2. Vay huy động,4.500.000.000,,,4500000000.0,
,,,- Vay huy động vốn,4.500.000.000,,,4500000000.0,
