row_label_raw,row_label_full,e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan,e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_1,e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_2,e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_3,e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_4,numeric__e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_1,numeric__e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_2,numeric__e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_3,numeric__e/ Vay các bên có liên quan như sau:Đối tượng các bên liên quan_4
,,,Mối quan hệ,Mối quan hệ,31/12/2021,01/01/2021,,,,
+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,+ Công ty Cổ phần Đầu Tư Tài Chính & Truyền Thông Quốc Tế,Công ty con,Công ty con,4.300.000.000,,,,4300000000.0,
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,Công ty con,Công ty con,31.501.207.743,,,,31501207743.0,
+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,+ Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,Công ty con,Công ty con,73.800.000.000,,,,73800000000.0,
+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,+ Công ty TNHH TM Sao Mai Solar,Công ty con,Công ty con,4.500.000.000,,,,4500000000.0,
,,,31/12/2021,31/12/2021,01/01/2021,01/01/2021,,,,
PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,Giá trị,Số có khả năng trảnợ,Giá trị,Số có khả năng trảnợ,,,,
a) Ngắn hạn,PHẢI TRẢ NGƯỜI BÁN > a) Ngắn hạn,a) Ngắn hạn,360.936.003.603,360.936.003.603,543.929.316.765,543.929.316.765,360936003603.0,360936003603.0,543929316765.0,543929316765.0
+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH MTV Chế Biển Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,52.723.343.000,52.723.343.000,56.585.124.500,56.585.124.500,52723343000.0,52723343000.0,56585124500.0,56585124500.0
+ Công ty Cổ Phần Nông Sản Tràng An,PHẢI TRẢ NGƯỜI BÁN > + Công ty Cổ Phần Nông Sản Tràng An,+ Công ty Cổ Phần Nông Sản Tràng An,26.335.789.100,26.335.789.100,53.763.658.720,53.763.658.720,26335789100.0,26335789100.0,53763658720.0,53763658720.0
"+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","PHẢI TRẢ NGƯỜI BÁN > + Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd","+ Công ty CP EPC Điện Mặt Trời Việt Nam Co.,Ltd",39.723.651.429,39.723.651.429,131.358.544.288,131.358.544.288,39723651429.0,39723651429.0,131358544288.0,131358544288.0
+ Công Ty Tnhh Cargill Việt Nam,PHẢI TRẢ NGƯỜI BÁN > + Công Ty Tnhh Cargill Việt Nam,+ Công Ty Tnhh Cargill Việt Nam,25.452.530.380,25.452.530.380,42.639.951.150,42.639.951.150,25452530380.0,25452530380.0,42639951150.0,42639951150.0
+ Công ty Cổ Phần Xây Lắp Điện Miền Nam,PHẢI TRẢ NGƯỜI BÁN > + Công ty Cổ Phần Xây Lắp Điện Miền Nam,+ Công ty Cổ Phần Xây Lắp Điện Miền Nam,7.546.845.521,7.546.845.521,16.419.924.269,16.419.924.269,7546845521.0,7546845521.0,16419924269.0,16419924269.0
+ Công ty TNHH MTV Thái Thị Thu Hạnh,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH MTV Thái Thị Thu Hạnh,+ Công ty TNHH MTV Thái Thị Thu Hạnh,10.525.802.572,10.525.802.572,13.525.832.500,13.525.832.500,10525802572.0,10525802572.0,13525832500.0,13525832500.0
+ Công ty TNHH SX & TM Vận Tải Việt Nam,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH SX & TM Vận Tải Việt Nam,+ Công ty TNHH SX & TM Vận Tải Việt Nam,22.486.806.170,22.486.806.170,13.499.776.000,13.499.776.000,22486806170.0,22486806170.0,13499776000.0,13499776000.0
+ Công ty Cổ Phần Khai Anh Bình Thuận,PHẢI TRẢ NGƯỜI BÁN > + Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,20.881.012.696,20.881.012.696,40.982.962.956,40.982.962.956,20881012696.0,20881012696.0,40982962956.0,40982962956.0
+ Công ty Cổ phần Hum,PHẢI TRẢ NGƯỜI BÁN > + Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,,,6.966.392.550,6.966.392.550,,,6966392550.0,6966392550.0
