row_label_raw,row_label_full,Bên liên quan > Cổ đông lớn và các bên liên quan với cổ đông lớn,Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,Năm nayTriệu đồng > 32.322.928 > 32.406.427,Năm trướcTriệu đồng > 54.035.050 > 53.126.989,numeric__Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,numeric__Năm nayTriệu đồng > 32.322.928 > 32.406.427,numeric__Năm trướcTriệu đồng > 54.035.050 > 53.126.989
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập dịch vụ bảo hiểm,2.421,-,,2421.0,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập dịch vụ tư vấn liên quan công ty bảo hiểm,2.089,-,,2089.0,
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Gửi tiền vào tài khoản và trả lãi tiền gửi,43.376.301,55.879.865,,43376301.0,55879865.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Rút tiền từ tài khoản,44.523.852,57.182.592,,44523852.0,57182592.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Cho vay,2.703.699,3.154.932,,2703699.0,3154932.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu gốc cho vay,2.217.333,2.601.709,,2217333.0,2601709.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu nhập lãi cho vay,68.028,56.132,,68028.0,56132.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Gửi tiền vào tài khoản và trả lãi tiền gửi,177.680.993,119.159.438,,177680993.0,119159438.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Rút tiền từ tài khoản,177.612.442,118.339.370,,177612442.0,118339370.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Cho vay,100.745,5.180,,100745.0,5180.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thu gốc cho vay,87.945,5.622,,87945.0,5622.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thu nhập lãi cho vay,2.618,603,,2618.0,603.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Phí dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu,266.042,76.598,,266042.0,76598.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Lương và thường,58.357,62.726,,58357.0,62726.0
