row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số năm trướcTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số năm trướcTriệu đồng
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,1,-,1.0,
Vay Ngân hàng Nhà nước,Vay Ngân hàng Nhà nước,Vay Ngân hàng Nhà nước,92.655,142.771,92655.0,142771.0
- Ngân hàng Hợp tác Quốc tế Nhật Bản (i),- Ngân hàng Hợp tác Quốc tế Nhật Bản (i),- Ngân hàng Hợp tác Quốc tế Nhật Bản (i),92.535,142.170,92535.0,142170.0
- Quỹ Phát Triển Doanh Nghiệp Vừa và Nhỏ (ii),- Quỹ Phát Triển Doanh Nghiệp Vừa và Nhỏ (ii),- Quỹ Phát Triển Doanh Nghiệp Vừa và Nhỏ (ii),120,601,120.0,601.0
,,,92.656,142.771,92656.0,142771.0
