row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Quyền sửdụng đấtTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Quyền sửdụng đấtTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.982,19.076,21.058,1982.0,19076.0,21058.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(1.982),(19.076),(21.058),-1982.0,-19076.0,-21058.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,198,-,198,198.0,,198.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,50,-,50,50.0,,50.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,(248),-,(248),-248.0,,-248.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.784,19.076,20.860,1784.0,19076.0,20860.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
