row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm > Tăng vốn trong năm (*) > Lợi nhuận trong năm,Vốn điều lệ Triệu đồng > 16.088.488 > 3.984.418 > -,Thặng dư vốn cổ phần Triệu đồng > 535.956 > -,Cổ phiếu quỹ Triệu đồng > (413.448) > -,Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,Quỹ của TCTD Triệu đồng > 1.847.081 > -,Lợi nhuận chưa phân phối Triệu đồng > 4.939.190 > (3.984.418) > 6.053.519,Lợi ích Cổ đông không kiểm soát Triệu đồng > 1.706.692 > - > 399.980,Tổng cộng Triệu đồng > 24.704.048 > - > 6.453.499,numeric__Vốn điều lệ Triệu đồng > 16.088.488 > 3.984.418 > -,numeric__Thặng dư vốn cổ phần Triệu đồng > 535.956 > -,numeric__Cổ phiếu quỹ Triệu đồng > (413.448) > -,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng > 89 > -,numeric__Quỹ của TCTD Triệu đồng > 1.847.081 > -,numeric__Lợi nhuận chưa phân phối Triệu đồng > 4.939.190 > (3.984.418) > 6.053.519,numeric__Lợi ích Cổ đông không kiểm soát Triệu đồng > 1.706.692 > - > 399.980,numeric__Tổng cộng Triệu đồng > 24.704.048 > - > 6.453.499
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,707.818,(707.818),-,-,,,,,707818.0,-707818.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(10.000),-,(10.000),,,,,,-10000.0,,-10000.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(7.434),-,-,(7.434),,,,,-7434.0,,,-7434.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,-,-,(350.000),(350.000),,,,,,,-350000.0,-350000.0
Số cuối năm,Số cuối năm,Số cuối năm,20.072.906,535.956,(413.448),89,2.547.465,6.290.473,1.756.672,30.790.113,20072906.0,535956.0,-413448.0,89.0,2547465.0,6290473.0,1756672.0,30790113.0
