row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2021 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,54.288.888,1.653.756,55.942.644,54288888.0,1653756.0,55942644.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,203.210.901,-,203.210.901,203210901.0,,203210901.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,76.812.976,-,76.812.976,76812976.0,,76812976.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2021 > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",144.421,-,144.421,144421.0,,144421.0
Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,94.798.766,12.443.816,107.242.582,94798766.0,12443816.0,107242582.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,183.283.117,-,183.283.117,183283117.0,,183283117.0
Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2021 > Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),21.838.898,-,21.838.898,21838898.0,,21838898.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2021 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",2.936.864,-,2.936.864,2936864.0,,2936864.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2021 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,35.316.326,7.439.787,42.756.113,35316326.0,7439787.0,42756113.0
Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021 > Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2021,Cam kết ngoại bảng tại ngày 31 tháng 12 năm 2021,62.748.251,-,62.748.251,62748251.0,,62748251.0
