row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,432.823,223.861,319.663,330.698,11.830,1.318.875,432823.0,223861.0,319663.0,330698.0,11830.0,1318875.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,52.484,57.317,25.862,20.891,2.678,159.232,52484.0,57317.0,25862.0,20891.0,2678.0,159232.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(477),(1.047),(186),(1.327),-,(3.037),-477.0,-1047.0,-186.0,-1327.0,,-3037.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,484.830,280.131,345.339,350.262,14.508,1.475.070,484830.0,280131.0,345339.0,350262.0,14508.0,1475070.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số đầu năm,Giá trị khấu hao luỹ kế > Số đầu năm,Số đầu năm,121.649,134.269,180.892,270.545,10.122,717.477,121649.0,134269.0,180892.0,270545.0,10122.0,717477.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,16.122,20.873,36.500,22.745,830,97.070,16122.0,20873.0,36500.0,22745.0,830.0,97070.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(456),(1.047),(186),(1.266),-,(2.955),-456.0,-1047.0,-186.0,-1266.0,,-2955.0
Số cuối năm,Giá trị khấu hao luỹ kế > Số cuối năm,Số cuối năm,137.315,154.095,217.206,292.024,10.952,811.592,137315.0,154095.0,217206.0,292024.0,10952.0,811592.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,311.174,89.592,138.771,60.153,1.708,601.398,311174.0,89592.0,138771.0,60153.0,1708.0,601398.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,347.515,126.036,128.133,58.238,3.556,663.478,347515.0,126036.0,128133.0,58238.0,3556.0,663478.0
