row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Giá trị vàng tiền tệđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Giá trị vàng tiền tệđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,57.994,406.458,20.121,266.792,751.365,57994.0,406458.0,20121.0,266792.0,751365.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,4.556,3.518.800,-,-,3.523.356,4556.0,3518800.0,,,3523356.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,76.792,11.713.689,-,482.198,12.272.679,76792.0,11713689.0,,482198.0,12272679.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,-,331.910,331.910,,,,331910.0,331910.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),-,12.939.028,-,71.406,13.010.434,,12939028.0,,71406.0,13010434.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),34.698,5.667.638,-,17.406,5.719.742,34698.0,5667638.0,,17406.0,5719742.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,174.040,34.245.613,20.121,1.169.712,35.609.486,174040.0,34245613.0,20121.0,1169712.0,35609486.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,34.582,21.345.289,-,608.926,21.988.797,34582.0,21345289.0,,608926.0,21988797.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,88.652,3.060.848,-,156.650,3.306.150,88652.0,3060848.0,,156650.0,3306150.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,51.692,12.374,-,264.452,328.518,51692.0,12374.0,,264452.0,328518.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,2.865.458,-,71.406,2.936.864,,2865458.0,,71406.0,2936864.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,7.442.500,-,-,7.442.500,,7442500.0,,,7442500.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,145,164.200,305,5.988,170.638,145.0,164200.0,305.0,5988.0,170638.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,175.071,34.890.669,305,1.107.422,36.173.467,175071.0,34890669.0,305.0,1107422.0,36173467.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(1.031),(645.056),19.816,62.290,(563.981),-1031.0,-645056.0,19816.0,62290.0,-563981.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,1.032.132,-,(47.323),984.809,,1032132.0,,-47323.0,984809.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(1.031),387.076,19.816,14.967,420.828,-1031.0,387076.0,19816.0,14967.0,420828.0
