row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,104.233,255.599,320.924,5.507,686.263,104233.0,255599.0,320924.0,5507.0,686263.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.393,271.820,12.205,1.807,291.225,5393.0,271820.0,12205.0,1807.0,291225.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,109.626,527.419,333.129,7.314,977.488,109626.0,527419.0,333129.0,7314.0,977488.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,8.160,-,216.686,3.387,228.233,8160.0,,216686.0,3387.0,228233.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.071,-,43.815,522,46.408,2071.0,,43815.0,522.0,46408.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,10.231,-,260.501,3.909,274.641,10231.0,,260501.0,3909.0,274641.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,96.073,255.599,104.238,2.120,458.030,96073.0,255599.0,104238.0,2120.0,458030.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,99.395,527.419,72.628,3.405,702.847,99395.0,527419.0,72628.0,3405.0,702847.0
