row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,496.275,630.093,496275.0,630093.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,224.727,348.026,224727.0,348026.0
Thu từ nghiệp vụ phải sinh lãi suất và hàng hóa,Thu từ nghiệp vụ phải sinh lãi suất và hàng hóa,Thu từ nghiệp vụ phải sinh lãi suất và hàng hóa,79.294,60.780,79294.0,60780.0
Thu lãi trả chậm từ thanh lý tài sản,Thu lãi trả chậm từ thanh lý tài sản,Thu lãi trả chậm từ thanh lý tài sản,43.067,75.229,43067.0,75229.0
Thu tiền cho thuê lại văn phòng,Thu tiền cho thuê lại văn phòng,Thu tiền cho thuê lại văn phòng,10.930,9.172,10930.0,9172.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,263,590,263.0,590.0
Thu nhập từ thanh lý bất động sản đầu tư,Thu nhập từ thanh lý bất động sản đầu tư,Thu nhập từ thanh lý bất động sản đầu tư,24.026,27.003,24026.0,27003.0
Thu từ giao dịch bán nợ,Thu từ giao dịch bán nợ,Thu từ giao dịch bán nợ,45,-,45.0,
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,-,3.113,,3113.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,113.923,106.180,113923.0,106180.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(313.638),(111.250),-313638.0,-111250.0
Chi phí nghiệp vụ phải sinh lãi suất và hàng hóa,Chi phí nghiệp vụ phải sinh lãi suất và hàng hóa,Chi phí nghiệp vụ phải sinh lãi suất và hàng hóa,(98.000),(63.620),-98000.0,-63620.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,(5.763),(5.763),-5763.0,-5763.0
Chi tài trợ và hoạt động xã hội,Chi tài trợ và hoạt động xã hội,Chi tài trợ và hoạt động xã hội,(115.659),(7.743),-115659.0,-7743.0
Chi phí về thanh lý tài sản cố định,Chi phí về thanh lý tài sản cố định,Chi phí về thanh lý tài sản cố định,(76),-,-76.0,
Chi phí từ thanh lý bất động sản đầu tư,Chi phí từ thanh lý bất động sản đầu tư,Chi phí từ thanh lý bất động sản đầu tư,(20.811),(23.180),-20811.0,-23180.0
Chi thanh lý hợp đồng,Chi thanh lý hợp đồng,Chi thanh lý hợp đồng,(67.500),-,-67500.0,
Chi phí khác,Chi phí khác,Chi phí khác,(5.829),(10.944),-5829.0,-10944.0
,,,182.637,518.843,182637.0,518843.0
