row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.445.611,-,-,-,-,-,-,2.445.611,,2445611.0,,,,,,,2445611.0
Tiền gửi tại NHNN Việt Nam,Tải sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,11.847.980,-,-,-,-,-,11.847.980,,,11847980.0,,,,,,11847980.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,51.069.704,4.872.940,-,-,-,-,55.942.644,,,51069704.0,4872940.0,,,,,55942644.0
Chứng khoán kinh doanh - gộp (*),Tải sản > Chứng khoán kinh doanh - gộp (*),Chứng khoán kinh doanh - gộp (*),-,11.200.948,-,-,-,-,-,-,11.200.948,,11200948.0,,,,,,,11200948.0
Cho vay khách hàng - gộp (*),Tải sản > Cho vay khách hàng - gộp (*),Cho vay khách hàng - gộp (*),8.697.570,-,52.828.560,95.605.402,20.630.316,19.986.853,5.427.452,34.748,203.210.901,8697570.0,,52828560.0,95605402.0,20630316.0,19986853.0,5427452.0,34748.0,203210901.0
Chứng khoán đầu tư - gộp (*),Tải sản > Chứng khoán đầu tư - gộp (*),Chứng khoán đầu tư - gộp (*),-,1.013.973,992.336,1.576.008,7.245.759,15.755.654,17.795.374,21.232.924,65.612.028,,1013973.0,992336.0,1576008.0,7245759.0,15755654.0,17795374.0,21232924.0,65612028.0
"Góp vốn, đầu tư dài hạn - gộp (*)","Tải sản > Góp vốn, đầu tư dài hạn - gộp (*)","Góp vốn, đầu tư dài hạn - gộp (*)",-,144.421,-,-,-,-,-,-,144.421,,144421.0,,,,,,,144421.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,1.366.325,-,-,-,-,-,-,1.366.325,,1366325.0,,,,,,,1366325.0
Tài sản Có khác - gộp (*),Tải sản > Tài sản Có khác - gộp (*),Tài sản Có khác - gộp (*),44.907,9.277.637,1.821.401,4.521.362,6.560.082,2.740.726,492.000,-,25.458.115,44907.0,9277637.0,1821401.0,4521362.0,6560082.0,2740726.0,492000.0,,25458115.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,8.742.477,25.448.915,118.559.981,106.575.712,34.436.157,38.483.233,23.714.826,21.267.672,377.228.973,8742477.0,25448915.0,118559981.0,106575712.0,34436157.0,38483233.0,23714826.0,21267672.0,377228973.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,189,92.467,-,-,-,-,92.656,,,189.0,92467.0,,,,,92656.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,79.243.931,13.741.575,8.310.390,4.801.686,1.145.000,-,107.242.582,,,79243931.0,13741575.0,8310390.0,4801686.0,1145000.0,,107242582.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,458.101,54.380.581,39.809.528,48.302.371,36.345.183,3.986.445,908,183.283.117,,458101.0,54380581.0,39809528.0,48302371.0,36345183.0,3986445.0,908.0,183283117.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,15.550,-,-,-,-,-,-,15.550,,15550.0,,,,,,,15550.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,876,2.864.582,-,-,-,71.406,2.936.864,,,876.0,2864582.0,,,,71406.0,2936864.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,130.000,840.000,4.144.949,3.219.800,32.062.749,2.358.615,42.756.113,,,130000.0,840000.0,4144949.0,3219800.0,32062749.0,2358615.0,42756113.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,7.494.576,-,-,-,-,-,-,7.494.576,,7494576.0,,,,,,,7494576.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.968.227,133.755.577,57.348.152,60.757.710,44.366.669,37.194.194,2.430.929,343.821.458,,7968227.0,133755577.0,57348152.0,60757710.0,44366669.0,37194194.0,2430929.0,343821458.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,8.742.477,17.480.688,(15.195.596),49.227.560,(26.321.553),(5.883.436),(13.479.368),18.836.743,33.407.515,8742477.0,17480688.0,-15195596.0,49227560.0,-26321553.0,-5883436.0,-13479368.0,18836743.0,33407515.0
