row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2017Nghìn VND,Tập đoàn > 1/1/2017Nghìn VND,Công tv > 31/12/2017Nghìn VND,Công tv > 1/1/2017Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2017Nghìn VND,numeric__Tập đoàn > 1/1/2017Nghìn VND,numeric__Công tv > 31/12/2017Nghìn VND,numeric__Công tv > 1/1/2017Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,3.456.003.440,2.496.130.991,2.782.039,951.931,100.0,,3456003440.0,2496130991.0,2782039.0,951931.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,780.414.201,603.345.037,483.619,896.931,110.0,5.0,780414201.0,603345037.0,483619.0,896931.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,82.470.201,536.715.037,83.619,896.931,111.0,,82470201.0,536715037.0,83619.0,896931.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,697.944.000,66.630.000,400.000,-,112.0,,697944000.0,66630000.0,400000.0,
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,32.500.000,-,-,-,120.0,,32500000.0,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,32.500.000,-,-,-,123.0,,32500000.0,,,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,860.460.818,583.833.584,2.298.420,55.000,130.0,,860460818.0,583833584.0,2298420.0,55000.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,,368.595.772,271.197.824,-,-,131.0,,368595772.0,271197824.0,,
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,78.568.122,42.094.159,-,-,132.0,,78568122.0,42094159.0,,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,6,420.152.488,277.397.165,2.298.420,55.000,136.0,6.0,420152488.0,277397165.0,2298420.0,55000.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(6.855.564),(6.855.564),-,-,137.0,,-6855564.0,-6855564.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,7,1.409.062.969,1.112.385.216,-,-,140.0,7.0,1409062969.0,1112385216.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,1.409.062.969,1.112.385.216,-,-,141.0,,1409062969.0,1112385216.0,,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,373.565.452,196.567.154,-,-,150.0,,373565452.0,196567154.0,,
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,47.822.640,61.782.483,-,-,151.0,,47822640.0,61782483.0,,
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,325.742.812,134.784.671,-,-,152.0,,325742812.0,134784671.0,,
