row_label_raw,row_label_full,Số lượng cổ phiếu đã phát hành đầu năm và cuối năm,2017 > 719.447.328,2016 > 719.447.328,numeric__2017 > 719.447.328,numeric__2016 > 719.447.328
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Cổ phiếu ưu đãi,Trong đó: > Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,15.902.430,15.902.430,15902430.0,15902430.0
Cổ phiếu phổ thông,Trong đó: > Cổ phiếu phổ thông,Cổ phiếu phổ thông,703.544.898,703.544.898,703544898.0,703544898.0
