row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2017Nghìn VND,Tập đoàn > 2016Nghìn VND,Công tv > 2017Nghìn VND,Công tv > 2016Nghìn VND,numeric__Mã số,numeric__Tập đoàn > 2017Nghìn VND,numeric__Tập đoàn > 2016Nghìn VND,numeric__Công tv > 2017Nghìn VND,numeric__Công tv > 2016Nghìn VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,2.638.264.656,4.200.895.851,-,-,33.0,2638264656.0,4200895851.0,,
Tiền trả nợ gốc vay và chi phí liên quan đến phát hành trái phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay và chi phí liên quan đến phát hành trái phiếu,Tiền trả nợ gốc vay và chi phí liên quan đến phát hành trái phiếu,34,(2.467.586.590),(3.848.163.366),-,-,34.0,-2467586590.0,-3848163366.0,,
Tiền trả nợ gốc thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,(16.271.187),(14.154.850),-,-,35.0,-16271187.0,-14154850.0,,
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,(26.249.448),(52.213.577),(26.249.448),(52.213.577),36.0,-26249448.0,-52213577.0,-26249448.0,-52213577.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,128.157.431,286.364.058,(26.249.448),(52.213.577),40.0,128157431.0,286364058.0,-26249448.0,-52213577.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,179.525.870,230.043.630,(413.312),399.136,50.0,179525870.0,230043630.0,-413312.0,399136.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,603.345.037,372.014.377,896.931,497.795,60.0,603345037.0,372014377.0,896931.0,497795.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(2.456.706),1.287.030,-,-,61.0,-2456706.0,1287030.0,,
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 5),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 5),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 5),70,780.414.201,603.345.037,483.619,896.931,70.0,780414201.0,603345037.0,483619.0,896931.0
