row_label_raw,row_label_full,Từ ngày 1 tháng 1 năm 2017 đến ngày 31 tháng 12 năm 2017,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Đồng Nghìn VND,numeric__Fluorit Nghìn VND,numeric__Vonfram Nghìn VND,numeric__Các bộ phận khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,24.189.965,263.377.029,4.295.613,291.862.607,,24189965.0,263377029.0,4295613.0,291862607.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,648.867.913,,,,,648867913.0
Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,14.461.260,75.293.663,144.252.892,98.633.905,332.641.720,14461260.0,75293663.0,144252892.0,98633905.0,332641720.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,806.763.861,,,,,806763861.0
Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,213.613.268,,,,,213613268.0
Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016,Đồng Nghìn VND,Fluorit Nghìn VND,Vonfram Nghìn VND,Các bộ phận khác Nghìn VND,Tổng cộng Nghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,346.191.642,75.264.692,421.456.334,,,346191642.0,75264692.0,421456334.0
Chi tiêu vốn không phân bổ,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,779.689.284,,,,,779689284.0
Khẩu hao tài sản cố định,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,13.508.048,70.325.266,138.706.396,59.220.901,281.760.611,13508048.0,70325266.0,138706396.0,59220901.0,281760611.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,709.096.803,,,,,709096803.0
Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Khẩu hao tài sản cố định vô hình và chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,191.920.302,,,,,191920302.0
