row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Tỷ lệ lợi ích kinh tế,Tỷ lệ lợi ích kinh tế_1,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích kinh tế,numeric__Tỷ lệ lợi ích kinh tế_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,31/12/2017,1/1/2017,,,
Công ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),Tên công ty > Công ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),Công ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),Tư vấn quản lý,100%,100%,,1.0,1.0
Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Tên công ty > Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Công ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Tư vấn quản lý,100%,100%,,1.0,1.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”),Tên công ty > Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”),Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”),Khai thác và chế biến khoáng sản,100%,100%,,1.0,1.0
Công ty TNHH Tinh luyện vonfram Núi Pháo - H.C. Starck (“NPHCS”),Tên công ty > Công ty TNHH Tinh luyện vonfram Núi Pháo - H.C. Starck (“NPHCS”),Công ty TNHH Tinh luyện vonfram Núi Pháo - H.C. Starck (“NPHCS”),Chế biến kim loại màu và kim loại quý hiểm (Vonfram),51%,51%,,0.51,0.51
